Q2	x	y	z	pT	obs	target	hadron	value	error
1.2408E+00	7.3236E-03	6.3380E-01	3.4389E-01	1.3049E-01	AUTsivers	proton	pi+	0.0000E+00	6.1187E-04
1.2797E+00	1.5512E-02	3.0853E-01	3.4499E-01	1.2976E-01	AUTsivers	proton	pi+	0.0000E+00	5.5796E-04
1.2895E+00	3.3585E-02	1.4423E-01	3.4686E-01	1.2540E-01	AUTsivers	proton	pi+	0.0000E+00	5.6993E-04
1.2823E+00	7.2309E-02	6.6466E-02	3.4571E-01	1.2417E-01	AUTsivers	proton	pi+	0.0000E+00	4.9760E-04
1.3075E+00	1.5529E-01	3.1630E-02	3.4550E-01	1.2257E-01	AUTsivers	proton	pi+	0.0000E+00	4.6845E-04
2.0156E+00	1.4071E-02	5.6025E-01	3.4374E-01	1.3064E-01	AUTsivers	proton	pi+	0.0000E+00	5.9804E-04
2.0573E+00	3.3499E-02	2.3017E-01	3.4452E-01	1.2862E-01	AUTsivers	proton	pi+	0.0000E+00	6.2158E-04
2.0611E+00	7.2149E-02	1.0709E-01	3.4484E-01	1.2769E-01	AUTsivers	proton	pi+	0.0000E+00	5.7097E-04
2.0608E+00	1.5250E-01	5.0625E-02	3.4437E-01	1.2719E-01	AUTsivers	proton	pi+	0.0000E+00	5.3763E-04
3.2846E+00	2.7298E-02	4.9875E-01	3.4356E-01	1.3035E-01	AUTsivers	proton	pi+	0.0000E+00	6.3498E-04
3.3284E+00	7.2008E-02	1.7332E-01	3.4346E-01	1.3001E-01	AUTsivers	proton	pi+	0.0000E+00	7.1942E-04
3.3364E+00	1.5319E-01	8.1646E-02	3.4393E-01	1.2902E-01	AUTsivers	proton	pi+	0.0000E+00	6.7378E-04
3.3794E+00	3.0414E-01	4.1091E-02	3.4422E-01	1.2799E-01	AUTsivers	proton	pi+	0.0000E+00	7.7212E-04
5.3538E+00	5.3482E-02	4.4492E-01	3.4324E-01	1.3009E-01	AUTsivers	proton	pi+	0.0000E+00	6.9998E-04
5.4088E+00	1.5318E-01	1.3232E-01	3.4353E-01	1.2995E-01	AUTsivers	proton	pi+	0.0000E+00	8.8099E-04
5.4359E+00	3.3316E-01	6.1971E-02	3.4357E-01	1.2927E-01	AUTsivers	proton	pi+	0.0000E+00	9.0860E-04
8.7033E+00	1.0438E-01	3.9951E-01	3.4319E-01	1.3070E-01	AUTsivers	proton	pi+	0.0000E+00	8.0577E-04
8.7881E+00	3.5004E-01	9.7120E-02	3.4322E-01	1.3033E-01	AUTsivers	proton	pi+	0.0000E+00	1.1779E-03
1.6637E+01	1.9423E-01	4.1090E-01	3.4300E-01	1.3085E-01	AUTsivers	proton	pi+	0.0000E+00	8.5133E-04
1.7330E+01	5.5831E-01	1.1257E-01	3.4299E-01	1.2966E-01	AUTsivers	proton	pi+	0.0000E+00	3.1384E-03
1.2400E+00	7.3096E-03	6.3486E-01	3.4461E-01	3.0005E-01	AUTsivers	proton	pi+	0.0000E+00	4.3629E-04
1.2813E+00	1.5381E-02	3.1146E-01	3.4590E-01	2.9897E-01	AUTsivers	proton	pi+	0.0000E+00	4.1196E-04
1.2890E+00	3.2977E-02	1.4664E-01	3.4710E-01	2.9509E-01	AUTsivers	proton	pi+	0.0000E+00	4.6334E-04
1.2976E+00	6.9730E-02	6.9642E-02	3.4824E-01	2.8217E-01	AUTsivers	proton	pi+	0.0000E+00	5.0901E-04
1.3302E+00	1.4867E-01	3.3591E-02	3.5059E-01	2.6375E-01	AUTsivers	proton	pi+	0.0000E+00	6.4972E-04
1.9221E+00	8.7580E-03	7.9015E-01	3.4435E-01	3.0027E-01	AUTsivers	proton	pi+	0.0000E+00	8.6261E-04
2.0472E+00	1.5736E-02	4.8756E-01	3.4445E-01	2.9952E-01	AUTsivers	proton	pi+	0.0000E+00	4.9450E-04
2.0738E+00	3.2900E-02	2.3614E-01	3.4651E-01	2.9672E-01	AUTsivers	proton	pi+	0.0000E+00	4.8345E-04
2.0818E+00	7.0779E-02	1.1019E-01	3.4751E-01	2.8815E-01	AUTsivers	proton	pi+	0.0000E+00	5.1074E-04
2.1014E+00	1.4794E-01	5.3144E-02	3.4906E-01	2.7384E-01	AUTsivers	proton	pi+	0.0000E+00	5.7735E-04
3.2305E+00	1.6676E-02	7.1234E-01	3.4428E-01	3.0004E-01	AUTsivers	proton	pi+	0.0000E+00	7.3604E-04
3.3314E+00	3.3642E-02	3.7090E-01	3.4452E-01	2.9874E-01	AUTsivers	proton	pi+	0.0000E+00	5.8578E-04
3.3615E+00	7.1173E-02	1.7702E-01	3.4625E-01	2.9384E-01	AUTsivers	proton	pi+	0.0000E+00	5.6502E-04
3.3798E+00	1.5025E-01	8.4196E-02	3.4714E-01	2.8528E-01	AUTsivers	proton	pi+	0.0000E+00	5.8805E-04
3.4432E+00	2.9745E-01	4.2806E-02	3.4857E-01	2.7290E-01	AUTsivers	proton	pi+	0.0000E+00	8.0908E-04
5.2959E+00	3.1726E-02	6.3796E-01	3.4382E-01	3.0001E-01	AUTsivers	proton	pi+	0.0000E+00	7.2735E-04
5.4069E+00	7.2017E-02	2.8129E-01	3.4459E-01	2.9840E-01	AUTsivers	proton	pi+	0.0000E+00	6.9806E-04
5.4396E+00	1.5193E-01	1.3408E-01	3.4532E-01	2.9454E-01	AUTsivers	proton	pi+	0.0000E+00	6.7416E-04
5.4831E+00	3.0948E-01	6.6117E-02	3.4670E-01	2.8583E-01	AUTsivers	proton	pi+	0.0000E+00	8.0924E-04
5.7435E+00	5.0795E-01	4.0434E-02	3.4756E-01	2.7868E-01	AUTsivers	proton	pi+	0.0000E+00	2.7038E-03
8.6454E+00	6.1906E-02	5.5878E-01	3.4371E-01	3.0013E-01	AUTsivers	proton	pi+	0.0000E+00	7.8341E-04
8.7958E+00	1.5322E-01	2.1511E-01	3.4429E-01	2.9888E-01	AUTsivers	proton	pi+	0.0000E+00	8.5974E-04
8.8190E+00	3.1289E-01	1.0531E-01	3.4498E-01	2.9579E-01	AUTsivers	proton	pi+	0.0000E+00	9.5628E-04
