Q2	x	y	z	pT	obs	target	hadron	value	error
1.27	0.006	0.68	0.24	0.5	AUTsivers	proton	h+	0.007	0.006000000115885416
1.58	0.011	0.49	0.25	0.49	AUTsivers	proton	h+	0.007	0.003999999794250119
1.84	0.018	0.35	0.25	0.47	AUTsivers	proton	h+	0.009	0.003999999794250119
1.93	0.028	0.23	0.26	0.44	AUTsivers	proton	h+	0.012	0.003
2.24	0.043	0.17	0.27	0.43	AUTsivers	proton	h+	0.017	0.004
2.9	0.07	0.14	0.28	0.41	AUTsivers	proton	h+	0.027	0.005
3.62	0.11	0.11	0.29	0.4	AUTsivers	proton	h+	0.029	0.016999999999999998
4.49	0.02	0.77	0.24	0.52	AUTsivers	proton	h+	-0.004	0.022000000248826566
4.86	0.029	0.58	0.24	0.51	AUTsivers	proton	h+	0.012	0.01000000002461005
4.94	0.045	0.38	0.25	0.48	AUTsivers	proton	h+	0.012	0.009000000171513109
4.98	0.075	0.23	0.26	0.45	AUTsivers	proton	h+	0.023	0.006999999858114355
5.04	0.12	0.14	0.28	0.41	AUTsivers	proton	h+	0.021	0.009000000171513109
5.52	0.163	0.11	0.29	0.4	AUTsivers	proton	h+	0.034	0.015000000069240835
7.1	0.031	0.77	0.24	0.53	AUTsivers	proton	h+	0.004	0.026000000161821843
8.2	0.046	0.6	0.24	0.51	AUTsivers	proton	h+	0.015	0.01200000019050933
9.14	0.076	0.41	0.25	0.49	AUTsivers	proton	h+	0.018	0.007999999832393061
9.42	0.121	0.26	0.26	0.46	AUTsivers	proton	h+	0.014	0.009000000171513109
9.64	0.176	0.18	0.27	0.43	AUTsivers	proton	h+	0.032	0.007999999832393061
10.74	0.248	0.15	0.28	0.41	AUTsivers	proton	h+	0.018	0.011000000127080726
12.91	0.351	0.12	0.29	0.42	AUTsivers	proton	h+	0.022	0.018999999832867397
18.86	0.084	0.75	0.24	0.54	AUTsivers	proton	h+	-0.009	0.02900000018662567
21.83	0.123	0.6	0.25	0.52	AUTsivers	proton	h+	0.003	0.0200000000492201
24.88	0.179	0.47	0.25	0.5	AUTsivers	proton	h+	0.031	0.01600000014890903
28.02	0.254	0.37	0.26	0.49	AUTsivers	proton	h+	0.046	0.01600000014890903
30.74	0.389	0.27	0.28	0.49	AUTsivers	proton	h+	0.023	0.014000000231307463
37.25	0.637	0.2	0.31	0.66	AUTsivers	proton	h+	0.005	0.0330000001202463
