x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	1.975533E-04	-7.152479E-04	1.587605E-04
7.500000E-03	4.630108E-03	5.201620E-04	-3.258581E-03	3.708424E-04
1.250000E-02	9.684352E-03	7.317706E-04	-6.318516E-03	4.866493E-04
1.750000E-02	1.555154E-02	8.665969E-04	-9.625395E-03	5.499690E-04
2.250000E-02	2.198389E-02	9.484797E-04	-1.309576E-02	5.824718E-04
2.750000E-02	2.882867E-02	9.937920E-04	-1.669733E-02	5.959775E-04
3.250000E-02	3.598295E-02	1.014398E-03	-2.041670E-02	5.975045E-04
3.750000E-02	4.337165E-02	1.019195E-03	-2.424718E-02	5.914777E-04
4.250000E-02	5.093824E-02	1.015092E-03	-2.818321E-02	5.808266E-04
4.750000E-02	5.863350E-02	1.007473E-03	-3.221392E-02	5.675235E-04
5.250000E-02	6.642243E-02	1.000717E-03	-3.633383E-02	5.531594E-04
5.750000E-02	7.426850E-02	9.981104E-04	-4.052698E-02	5.388510E-04
6.250000E-02	8.214735E-02	1.002156E-03	-4.478557E-02	5.256580E-04
6.750000E-02	9.002760E-02	1.014352E-03	-4.908744E-02	5.143305E-04
7.250000E-02	9.789142E-02	1.035525E-03	-5.342479E-02	5.056842E-04
7.750000E-02	1.057145E-01	1.065695E-03	-5.777520E-02	5.002682E-04
8.250000E-02	1.134743E-01	1.104348E-03	-6.211957E-02	4.985514E-04
8.750000E-02	1.211580E-01	1.150680E-03	-6.644953E-02	5.009379E-04
9.250000E-02	1.287433E-01	1.203590E-03	-7.073841E-02	5.075188E-04
9.750000E-02	1.362137E-01	1.261955E-03	-7.497127E-02	5.183097E-04
1.025000E-01	1.435522E-01	1.324670E-03	-7.913024E-02	5.331456E-04
1.075000E-01	1.507525E-01	1.390796E-03	-8.321263E-02	5.518306E-04
1.125000E-01	1.577859E-01	1.459285E-03	-8.717973E-02	5.738309E-04
1.175000E-01	1.646461E-01	1.529395E-03	-9.102979E-02	5.987966E-04
1.225000E-01	1.713203E-01	1.600416E-03	-9.474810E-02	6.262580E-04
1.275000E-01	1.777994E-01	1.671761E-03	-9.832155E-02	6.557463E-04
1.325000E-01	1.840787E-01	1.742954E-03	-1.017512E-01	6.868941E-04
1.375000E-01	1.901390E-01	1.813439E-03	-1.050219E-01	7.192429E-04
1.425000E-01	1.959624E-01	1.882723E-03	-1.081031E-01	7.522447E-04
1.475000E-01	2.015505E-01	1.950536E-03	-1.110046E-01	7.856514E-04
1.525000E-01	2.068923E-01	2.016523E-03	-1.137167E-01	8.191011E-04
1.575000E-01	2.119808E-01	2.080389E-03	-1.162328E-01	8.522786E-04
1.625000E-01	2.168103E-01	2.141881E-03	-1.185501E-01	8.849125E-04
1.675000E-01	2.213736E-01	2.200749E-03	-1.206623E-01	9.167289E-04
1.725000E-01	2.256671E-01	2.256792E-03	-1.225686E-01	9.475103E-04
1.775000E-01	2.296856E-01	2.309817E-03	-1.242665E-01	9.770456E-04
1.825000E-01	2.334266E-01	2.359667E-03	-1.257564E-01	1.005163E-03
1.875000E-01	2.368871E-01	2.406198E-03	-1.270382E-01	1.031705E-03
1.925000E-01	2.400628E-01	2.449269E-03	-1.281103E-01	1.056515E-03
1.975000E-01	2.429550E-01	2.488809E-03	-1.289776E-01	1.079506E-03
2.025000E-01	2.455613E-01	2.524726E-03	-1.296405E-01	1.100573E-03
2.075000E-01	2.478828E-01	2.556982E-03	-1.301032E-01	1.119654E-03
2.125000E-01	2.499201E-01	2.585546E-03	-1.303700E-01	1.136706E-03
2.175000E-01	2.516722E-01	2.610394E-03	-1.304429E-01	1.151678E-03
2.225000E-01	2.531444E-01	2.631578E-03	-1.303294E-01	1.164586E-03
2.275000E-01	2.543378E-01	2.649131E-03	-1.300345E-01	1.175432E-03
2.325000E-01	2.552530E-01	2.663093E-03	-1.295617E-01	1.184221E-03
2.375000E-01	2.558977E-01	2.673601E-03	-1.289200E-01	1.191023E-03
2.425000E-01	2.562742E-01	2.680752E-03	-1.281154E-01	1.195888E-03
2.475000E-01	2.563849E-01	2.684663E-03	-1.271526E-01	1.198865E-03
2.525000E-01	2.562378E-01	2.685525E-03	-1.260403E-01	1.200056E-03
2.575000E-01	2.558377E-01	2.683517E-03	-1.247867E-01	1.199561E-03
2.625000E-01	2.551902E-01	2.678841E-03	-1.233975E-01	1.197468E-03
2.675000E-01	2.542987E-01	2.671691E-03	-1.218798E-01	1.193886E-03
2.725000E-01	2.531748E-01	2.662363E-03	-1.202439E-01	1.188957E-03
2.775000E-01	2.518235E-01	2.651097E-03	-1.184961E-01	1.182794E-03
2.825000E-01	2.502492E-01	2.638136E-03	-1.166426E-01	1.175508E-03
2.875000E-01	2.484623E-01	2.623797E-03	-1.146923E-01	1.167241E-03
2.925000E-01	2.464711E-01	2.608383E-03	-1.126545E-01	1.158139E-03
2.975000E-01	2.442830E-01	2.592190E-03	-1.105345E-01	1.148307E-03
3.025000E-01	2.419023E-01	2.575483E-03	-1.083399E-01	1.137871E-03
3.075000E-01	2.393416E-01	2.558610E-03	-1.060789E-01	1.126959E-03
3.125000E-01	2.366092E-01	2.541871E-03	-1.037601E-01	1.115704E-03
3.175000E-01	2.337131E-01	2.525553E-03	-1.013882E-01	1.104185E-03
3.225000E-01	2.306588E-01	2.509898E-03	-9.897092E-02	1.092511E-03
3.275000E-01	2.274576E-01	2.495194E-03	-9.651524E-02	1.080772E-03
3.325000E-01	2.241198E-01	2.481699E-03	-9.402876E-02	1.069059E-03
3.375000E-01	2.206529E-01	2.469610E-03	-9.151707E-02	1.057432E-03
3.425000E-01	2.170642E-01	2.459093E-03	-8.898484E-02	1.045928E-03
3.475000E-01	2.133613E-01	2.450281E-03	-8.644015E-02	1.034615E-03
3.525000E-01	2.095565E-01	2.443330E-03	-8.388731E-02	1.023508E-03
3.575000E-01	2.056582E-01	2.438309E-03	-8.133399E-02	1.012654E-03
3.625000E-01	2.016734E-01	2.435237E-03	-7.878199E-02	1.002016E-03
3.675000E-01	1.976095E-01	2.434092E-03	-7.623829E-02	9.916164E-04
3.725000E-01	1.934754E-01	2.434838E-03	-7.370813E-02	9.814482E-04
3.775000E-01	1.892816E-01	2.437421E-03	-7.119470E-02	9.714717E-04
3.825000E-01	1.850361E-01	2.441727E-03	-6.870419E-02	9.616835E-04
3.875000E-01	1.807446E-01	2.447582E-03	-6.623692E-02	9.519955E-04
3.925000E-01	1.764147E-01	2.454805E-03	-6.379903E-02	9.423986E-04
3.975000E-01	1.720543E-01	2.463204E-03	-6.139466E-02	9.328568E-04
4.025000E-01	1.676721E-01	2.472580E-03	-5.902479E-02	9.232878E-04
4.075000E-01	1.632764E-01	2.482722E-03	-5.669480E-02	9.136786E-04
4.125000E-01	1.588719E-01	2.493354E-03	-5.440462E-02	9.039339E-04
4.175000E-01	1.544649E-01	2.504223E-03	-5.215732E-02	8.940123E-04
4.225000E-01	1.500631E-01	2.515097E-03	-4.995805E-02	8.839165E-04
4.275000E-01	1.456722E-01	2.525720E-03	-4.780564E-02	8.735468E-04
4.325000E-01	1.412998E-01	2.535878E-03	-4.570280E-02	8.628781E-04
4.375000E-01	1.369523E-01	2.545350E-03	-4.365203E-02	8.518910E-04
4.425000E-01	1.326319E-01	2.553849E-03	-4.165160E-02	8.404929E-04
4.475000E-01	1.283454E-01	2.561190E-03	-3.970517E-02	8.287040E-04
4.525000E-01	1.240989E-01	2.567195E-03	-3.781515E-02	8.165340E-04
4.575000E-01	1.198955E-01	2.571647E-03	-3.597913E-02	8.038995E-04
4.625000E-01	1.157418E-01	2.574417E-03	-3.419895E-02	7.908144E-04
4.675000E-01	1.116428E-01	2.575376E-03	-3.247566E-02	7.772880E-04
4.725000E-01	1.075988E-01	2.574301E-03	-3.080702E-02	7.632586E-04
4.775000E-01	1.036154E-01	2.571115E-03	-2.919509E-02	7.487761E-04
