x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	1.809516E-04	-7.152479E-04	1.442223E-04
7.500000E-03	4.630108E-03	4.785567E-04	-3.258581E-03	3.355612E-04
1.250000E-02	9.684352E-03	6.743963E-04	-6.318516E-03	4.372611E-04
1.750000E-02	1.555154E-02	7.984438E-04	-9.625395E-03	4.893861E-04
2.250000E-02	2.198389E-02	8.718939E-04	-1.309576E-02	5.119369E-04
2.750000E-02	2.882867E-02	9.093697E-04	-1.669733E-02	5.159310E-04
3.250000E-02	3.598295E-02	9.214704E-04	-2.041670E-02	5.079947E-04
3.750000E-02	4.337165E-02	9.161175E-04	-2.424718E-02	4.923835E-04
4.250000E-02	5.093824E-02	8.994412E-04	-2.818321E-02	4.719951E-04
4.750000E-02	5.863350E-02	8.762222E-04	-3.221392E-02	4.488790E-04
5.250000E-02	6.642243E-02	8.504106E-04	-3.633383E-02	4.247473E-04
5.750000E-02	7.426850E-02	8.251092E-04	-4.052698E-02	4.009292E-04
6.250000E-02	8.214735E-02	8.028860E-04	-4.478557E-02	3.787117E-04
6.750000E-02	9.002760E-02	7.855976E-04	-4.908744E-02	3.591466E-04
7.250000E-02	9.789142E-02	7.746104E-04	-5.342479E-02	3.432956E-04
7.750000E-02	1.057145E-01	7.706119E-04	-5.777520E-02	3.319350E-04
8.250000E-02	1.134743E-01	7.737338E-04	-6.211957E-02	3.256109E-04
8.750000E-02	1.211580E-01	7.836785E-04	-6.644953E-02	3.245781E-04
9.250000E-02	1.287433E-01	7.997198E-04	-7.073841E-02	3.286220E-04
9.750000E-02	1.362137E-01	8.209459E-04	-7.497127E-02	3.372651E-04
1.025000E-01	1.435522E-01	8.463522E-04	-7.913024E-02	3.497992E-04
1.075000E-01	1.507525E-01	8.750050E-04	-8.321263E-02	3.654916E-04
1.125000E-01	1.577859E-01	9.059167E-04	-8.717973E-02	3.834621E-04
1.175000E-01	1.646461E-01	9.383370E-04	-9.102979E-02	4.030657E-04
1.225000E-01	1.713203E-01	9.715959E-04	-9.474810E-02	4.236997E-04
1.275000E-01	1.777994E-01	1.005158E-03	-9.832155E-02	4.448694E-04
1.325000E-01	1.840787E-01	1.038616E-03	-1.017512E-01	4.662367E-04
1.375000E-01	1.901390E-01	1.071562E-03	-1.050219E-01	4.874676E-04
1.425000E-01	1.959624E-01	1.103670E-03	-1.081031E-01	5.082152E-04
1.475000E-01	2.015505E-01	1.134781E-03	-1.110046E-01	5.283688E-04
1.525000E-01	2.068923E-01	1.164706E-03	-1.137167E-01	5.477621E-04
1.575000E-01	2.119808E-01	1.193312E-03	-1.162328E-01	5.662727E-04
1.625000E-01	2.168103E-01	1.220500E-03	-1.185501E-01	5.838139E-04
1.675000E-01	2.213736E-01	1.246179E-03	-1.206623E-01	6.002989E-04
1.725000E-01	2.256671E-01	1.270288E-03	-1.225686E-01	6.156761E-04
1.775000E-01	2.296856E-01	1.292769E-03	-1.242665E-01	6.298941E-04
1.825000E-01	2.334266E-01	1.313581E-03	-1.257564E-01	6.429211E-04
1.875000E-01	2.368871E-01	1.332685E-03	-1.270382E-01	6.547263E-04
1.925000E-01	2.400628E-01	1.350036E-03	-1.281103E-01	6.652744E-04
1.975000E-01	2.429550E-01	1.365620E-03	-1.289776E-01	6.745653E-04
2.025000E-01	2.455613E-01	1.379405E-03	-1.296405E-01	6.825786E-04
2.075000E-01	2.478828E-01	1.391379E-03	-1.301032E-01	6.893159E-04
2.125000E-01	2.499201E-01	1.401527E-03	-1.303700E-01	6.947820E-04
2.175000E-01	2.516722E-01	1.409830E-03	-1.304429E-01	6.989719E-04
2.225000E-01	2.531444E-01	1.416306E-03	-1.303294E-01	7.019143E-04
2.275000E-01	2.543378E-01	1.420953E-03	-1.300345E-01	7.036266E-04
2.325000E-01	2.552530E-01	1.423773E-03	-1.295617E-01	7.041230E-04
2.375000E-01	2.558977E-01	1.424813E-03	-1.289200E-01	7.034527E-04
2.425000E-01	2.562742E-01	1.424098E-03	-1.281154E-01	7.016522E-04
2.475000E-01	2.563849E-01	1.421663E-03	-1.271526E-01	6.987557E-04
2.525000E-01	2.562378E-01	1.417580E-03	-1.260403E-01	6.948251E-04
2.575000E-01	2.558377E-01	1.411918E-03	-1.247867E-01	6.899244E-04
2.625000E-01	2.551902E-01	1.404759E-03	-1.233975E-01	6.841080E-04
2.675000E-01	2.542987E-01	1.396185E-03	-1.218798E-01	6.774452E-04
2.725000E-01	2.531748E-01	1.386337E-03	-1.202439E-01	6.700255E-04
2.775000E-01	2.518235E-01	1.375329E-03	-1.184961E-01	6.619217E-04
2.825000E-01	2.502492E-01	1.363287E-03	-1.166426E-01	6.532105E-04
2.875000E-01	2.484623E-01	1.350381E-03	-1.146923E-01	6.439868E-04
2.925000E-01	2.464711E-01	1.336782E-03	-1.126545E-01	6.343501E-04
2.975000E-01	2.442830E-01	1.322669E-03	-1.105345E-01	6.243808E-04
3.025000E-01	2.419023E-01	1.308213E-03	-1.083399E-01	6.141735E-04
3.075000E-01	2.393416E-01	1.293636E-03	-1.060789E-01	6.038256E-04
3.125000E-01	2.366092E-01	1.279150E-03	-1.037601E-01	5.934385E-04
3.175000E-01	2.337131E-01	1.264964E-03	-1.013882E-01	5.830886E-04
3.225000E-01	2.306588E-01	1.251279E-03	-9.897092E-02	5.728663E-04
3.275000E-01	2.274576E-01	1.238323E-03	-9.651524E-02	5.628551E-04
3.325000E-01	2.241198E-01	1.226315E-03	-9.402876E-02	5.531363E-04
3.375000E-01	2.206529E-01	1.215449E-03	-9.151707E-02	5.437739E-04
3.425000E-01	2.170642E-01	1.205902E-03	-8.898484E-02	5.348183E-04
3.475000E-01	2.133613E-01	1.197833E-03	-8.644015E-02	5.263319E-04
3.525000E-01	2.095565E-01	1.191408E-03	-8.388731E-02	5.183452E-04
3.575000E-01	2.056582E-01	1.186741E-03	-8.133399E-02	5.108996E-04
3.625000E-01	2.016734E-01	1.183907E-03	-7.878199E-02	5.039892E-04
3.675000E-01	1.976095E-01	1.182949E-03	-7.623829E-02	4.976303E-04
3.725000E-01	1.934754E-01	1.183887E-03	-7.370813E-02	4.918183E-04
3.775000E-01	1.892816E-01	1.186713E-03	-7.119470E-02	4.865255E-04
3.825000E-01	1.850361E-01	1.191372E-03	-6.870419E-02	4.817360E-04
3.875000E-01	1.807446E-01	1.197762E-03	-6.623692E-02	4.773854E-04
3.925000E-01	1.764147E-01	1.205762E-03	-6.379903E-02	4.734439E-04
3.975000E-01	1.720543E-01	1.215230E-03	-6.139466E-02	4.698636E-04
4.025000E-01	1.676721E-01	1.226008E-03	-5.902479E-02	4.665699E-04
4.075000E-01	1.632764E-01	1.237923E-03	-5.669480E-02	4.635205E-04
4.125000E-01	1.588719E-01	1.250761E-03	-5.440462E-02	4.606301E-04
4.175000E-01	1.544649E-01	1.264315E-03	-5.215732E-02	4.578394E-04
4.225000E-01	1.500631E-01	1.278385E-03	-4.995805E-02	4.551124E-04
4.275000E-01	1.456722E-01	1.292759E-03	-4.780564E-02	4.523612E-04
4.325000E-01	1.412998E-01	1.307244E-03	-4.570280E-02	4.495373E-04
4.375000E-01	1.369523E-01	1.321650E-03	-4.365203E-02	4.465972E-04
4.425000E-01	1.326319E-01	1.335750E-03	-4.165160E-02	4.434612E-04
4.475000E-01	1.283454E-01	1.349377E-03	-3.970517E-02	4.401110E-04
4.525000E-01	1.240989E-01	1.362370E-03	-3.781515E-02	4.365257E-04
4.575000E-01	1.198955E-01	1.374550E-03	-3.597913E-02	4.326372E-04
4.625000E-01	1.157418E-01	1.385793E-03	-3.419895E-02	4.284320E-04
4.675000E-01	1.116428E-01	1.395975E-03	-3.247566E-02	4.238965E-04
4.725000E-01	1.075988E-01	1.404927E-03	-3.080702E-02	4.189812E-04
4.775000E-01	1.036154E-01	1.412565E-03	-2.919509E-02	4.136992E-04
4.825000E-01	9.969797E-02	1.418818E-03	-2.764159E-02	4.080702E-04
4.875000E-01	9.584704E-02	1.423566E-03	-2.614360E-02	4.020533E-04
4.925000E-01	9.206689E-02	1.426755E-03	-2.470109E-02	3.956538E-04
4.975000E-01	8.836230E-02	1.428361E-03	-2.331465E-02	3.888937E-04
5.025000E-01	8.473259E-02	1.428289E-03	-2.198227E-02	3.817585E-04
5.075000E-01	8.117972E-02	1.426495E-03	-2.070338E-02	3.742608E-04
5.125000E-01	7.770859E-02	1.423006E-03	-1.947890E-02	3.664459E-04
5.175000E-01	7.432090E-02	1.417809E-03	-1.830788E-02	3.583321E-04
5.225000E-01	7.101552E-02	1.410850E-03	-1.718753E-02	3.499042E-04
5.275000E-01	6.779558E-02	1.402169E-03	-1.611773E-02	3.412006E-04
5.325000E-01	6.466356E-02	1.391811E-03	-1.509833E-02	3.322652E-04
5.375000E-01	6.161678E-02	1.379724E-03	-1.412911E-02	3.231467E-04
5.425000E-01	5.865664E-02	1.365950E-03	-1.320640E-02	3.138170E-04
5.475000E-01	5.578617E-02	1.350585E-03	-1.232605E-02	3.042292E-04
5.525000E-01	5.300553E-02	1.333676E-03	-1.149031E-02	2.944912E-04
5.575000E-01	5.031296E-02	1.315229E-03	-1.070111E-02	2.847169E-04
5.625000E-01	4.770929E-02	1.295322E-03	-9.953369E-03	2.748395E-04
5.675000E-01	4.519439E-02	1.274023E-03	-9.246237E-03	2.649000E-04
5.725000E-01	4.276772E-02	1.251397E-03	-8.578462E-03	2.549294E-04
5.775000E-01	4.042888E-02	1.227519E-03	-7.948731E-03	2.449569E-04
5.825000E-01	3.817708E-02	1.202464E-03	-7.355546E-03	2.350059E-04
5.875000E-01	3.601146E-02	1.176312E-03	-6.797579E-03	2.251042E-04
5.925000E-01	3.393104E-02	1.149144E-03	-6.273403E-03	2.152756E-04
5.975000E-01	3.193473E-02	1.121047E-03	-5.781612E-03	2.055431E-04
6.025000E-01	3.002130E-02	1.092106E-03	-5.320880E-03	1.959309E-04
6.075000E-01	2.818933E-02	1.062407E-03	-4.889771E-03	1.864578E-04
6.125000E-01	2.643745E-02	1.032041E-03	-4.486991E-03	1.771454E-04
6.175000E-01	2.476438E-02	1.001107E-03	-4.111260E-03	1.680145E-04
6.225000E-01	2.316832E-02	9.696895E-04	-3.761199E-03	1.590791E-04
6.275000E-01	2.164755E-02	9.378753E-04	-3.435580E-03	1.503570E-04
6.325000E-01	2.020028E-02	9.057528E-04	-3.133128E-03	1.418614E-04
6.375000E-01	1.882473E-02	8.734123E-04	-2.852603E-03	1.336040E-04
6.425000E-01	1.751904E-02	8.409420E-04	-2.592876E-03	1.255989E-04
6.475000E-01	1.628121E-02	8.084231E-04	-2.352761E-03	1.178542E-04
6.525000E-01	1.510931E-02	7.759409E-04	-2.131122E-03	1.103776E-04
6.575000E-01	1.400138E-02	7.435791E-04	-1.926914E-03	1.031778E-04
6.625000E-01	1.295525E-02	7.114091E-04	-1.739053E-03	9.625838E-05
6.675000E-01	1.196890E-02	6.795080E-04	-1.566533E-03	8.962337E-05
6.725000E-01	1.104033E-02	6.479521E-04	-1.408406E-03	8.327687E-05
6.775000E-01	1.016729E-02	6.168021E-04	-1.263712E-03	7.721878E-05
6.825000E-01	9.347747E-03	5.861252E-04	-1.131559E-03	7.144925E-05
6.875000E-01	8.579665E-03	5.559875E-04	-1.011104E-03	6.596816E-05
6.925000E-01	7.860829E-03	5.264382E-04	-9.015134E-04	6.077229E-05
6.975000E-01	7.189208E-03	4.975337E-04	-8.020049E-04	5.585820E-05
7.025000E-01	6.562803E-03	4.693279E-04	-7.118534E-04	5.122280E-05
7.075000E-01	5.979477E-03	4.418591E-04	-6.303454E-04	4.686034E-05
7.125000E-01	5.437236E-03	4.151697E-04	-5.568004E-04	4.276385E-05
7.175000E-01	4.934121E-03	3.892987E-04	-4.906125E-04	3.892850E-05
7.225000E-01	4.468130E-03	3.642744E-04	-4.311757E-04	3.534613E-05
7.275000E-01	4.037344E-03	3.401246E-04	-3.779113E-04	3.200724E-05
7.325000E-01	3.639892E-03	3.168732E-04	-3.303270E-04	2.890619E-05
7.375000E-01	3.273961E-03	2.945416E-04	-2.879054E-04	2.603207E-05
7.425000E-01	2.937705E-03	2.731398E-04	-2.501780E-04	2.337489E-05
7.475000E-01	2.629388E-03	2.526790E-04	-2.167451E-04	2.092797E-05
7.525000E-01	2.347377E-03	2.331713E-04	-1.871754E-04	1.867868E-05
7.575000E-01	2.089957E-03	2.146123E-04	-1.611060E-04	1.661796E-05
7.625000E-01	1.855554E-03	1.970018E-04	-1.381978E-04	1.473641E-05
7.675000E-01	1.642678E-03	1.803393E-04	-1.181243E-04	1.302320E-05
7.725000E-01	1.449820E-03	1.646125E-04	-1.005965E-04	1.146885E-05
7.775000E-01	1.275557E-03	1.498086E-04	-8.533279E-05	1.006215E-05
7.825000E-01	1.118552E-03	1.359152E-04	-7.210638E-05	8.795779E-06
7.875000E-01	9.775220E-04	1.229161E-04	-6.066966E-05	7.657631E-06
7.925000E-01	8.511923E-04	1.107861E-04	-5.082207E-05	6.639014E-06
7.975000E-01	7.384002E-04	9.950383E-05	-4.238703E-05	5.732300E-06
8.025000E-01	6.380369E-04	8.904518E-05	-3.517790E-05	4.926490E-06
8.075000E-01	5.490286E-04	7.938049E-05	-2.904775E-05	4.213960E-06
8.125000E-01	4.704542E-04	7.049210E-05	-2.386950E-05	3.588247E-06
8.175000E-01	4.012834E-04	6.233640E-05	-1.951648E-05	3.041344E-06
8.225000E-01	3.405062E-04	5.486059E-05	-1.584308E-05	2.560394E-06
8.275000E-01	2.875382E-04	4.806940E-05	-1.279352E-05	2.145133E-06
8.325000E-01	2.415041E-04	4.191262E-05	-1.026455E-05	1.786531E-06
8.375000E-01	2.016867E-04	3.635567E-05	-8.180288E-06	1.478679E-06
8.425000E-01	1.674186E-04	3.136319E-05	-6.473096E-06	1.215905E-06
8.475000E-01	1.380827E-04	2.689962E-05	-5.083774E-06	9.929446E-07
8.525000E-01	1.131094E-04	2.292914E-05	-3.960982E-06	8.049803E-07
8.575000E-01	9.197607E-05	1.941620E-05	-3.060031E-06	6.475449E-07
8.625000E-01	7.420719E-05	1.632609E-05	-2.342744E-06	5.166274E-07
8.675000E-01	5.937216E-05	1.362524E-05	-1.776526E-06	4.086119E-07
8.725000E-01	4.707424E-05	1.127933E-05	-1.333295E-06	3.201596E-07
8.775000E-01	3.696154E-05	9.256399E-06	-9.897288E-07	2.483763E-07
8.825000E-01	2.871689E-05	7.525222E-06	-7.260451E-07	1.906378E-07
8.875000E-01	2.205696E-05	6.055719E-06	-5.258824E-07	1.446551E-07
8.925000E-01	1.673128E-05	4.819399E-06	-3.756664E-07	1.084058E-07
8.975000E-01	1.251934E-05	3.789313E-06	-2.644046E-07	8.016689E-08
9.025000E-01	9.227933E-06	2.939988E-06	-1.830843E-07	5.842513E-08
9.075000E-01	6.690088E-06	2.247865E-06	-1.245524E-07	4.191388E-08
9.125000E-01	4.761485E-06	1.690893E-06	-8.307932E-08	2.954559E-08
9.175000E-01	3.319929E-06	1.249102E-06	-5.424303E-08	2.043604E-08
9.225000E-01	2.261821E-06	9.041226E-07	-3.457359E-08	1.383739E-08
9.275000E-01	1.501109E-06	6.395308E-07	-2.145408E-08	9.150719E-09
9.325000E-01	9.668238E-07	4.406270E-07	-1.291140E-08	5.890427E-09
9.375000E-01	6.015943E-07	2.945515E-07	-7.508631E-09	3.679761E-09
9.425000E-01	3.595383E-07	1.900773E-07	-4.195405E-09	2.219777E-09
9.475000E-01	2.048973E-07	1.176715E-07	-2.236325E-09	1.285189E-09
9.525000E-01	1.102946E-07	6.931470E-08	-1.127779E-09	7.091449E-10
9.575000E-01	5.535587E-08	3.841638E-08	-5.315087E-10	3.690129E-10
9.625000E-01	2.546521E-08	1.974176E-08	-2.302791E-10	1.785684E-10
9.675000E-01	1.046688E-08	9.201958E-09	-8.935284E-11	7.856143E-11
9.725000E-01	3.705073E-09	3.770229E-09	-3.006621E-11	3.059178E-11
9.775000E-01	1.063279E-09	1.289564E-09	-8.256208E-12	1.001005E-11
9.825000E-01	2.210956E-10	3.343632E-10	-1.641968E-12	2.481706E-12
9.875000E-01	2.702413E-11	5.510690E-11	-1.947002E-13	3.966689E-13
9.925000E-01	1.140445E-12	3.704045E-12	-8.093258E-15	2.625108E-14
9.975000E-01	3.895018E-15	3.660105E-14	-4.994815E-17	4.684228E-16
