# Q2	x	y	z	pT	obs	target	hadron	value	error
1.0781E+00	6.5975E-02	7.9298E-01	3.2278E-01	3.3769E-01	AUTcollins	neutron	pi-	1.4771E-02	2.5980E-03
1.1899E+00	7.6068E-02	7.5787E-01	3.2677E-01	3.2462E-01	AUTcollins	neutron	pi-	1.9942E-02	2.6091E-03
1.3431E+00	8.6672E-02	7.5083E-01	3.2745E-01	3.1829E-01	AUTcollins	neutron	pi-	2.4076E-02	2.7373E-03
1.5228E+00	9.9474E-02	7.4174E-01	3.2848E-01	3.1095E-01	AUTcollins	neutron	pi-	2.9330E-02	2.9931E-03
1.7535E+00	1.1656E-01	7.2905E-01	3.3032E-01	3.0167E-01	AUTcollins	neutron	pi-	3.6572E-02	3.3610E-03
1.9252E+00	1.3342E-01	6.9942E-01	3.3732E-01	2.8966E-01	AUTcollins	neutron	pi-	4.4907E-02	5.3372E-03
1.0547E+00	6.1821E-02	8.2732E-01	3.2283E-01	5.0099E-01	AUTcollins	neutron	pi-	1.4467E-02	2.4076E-03
1.1123E+00	6.8480E-02	7.8706E-01	3.2471E-01	4.9691E-01	AUTcollins	neutron	pi-	2.0133E-02	2.6163E-03
1.1849E+00	7.4370E-02	7.7189E-01	3.2645E-01	4.9473E-01	AUTcollins	neutron	pi-	2.3895E-02	2.7464E-03
1.2824E+00	8.1165E-02	7.6550E-01	3.2688E-01	4.9348E-01	AUTcollins	neutron	pi-	2.7588E-02	2.9421E-03
1.4016E+00	8.9524E-02	7.5852E-01	3.2736E-01	4.9148E-01	AUTcollins	neutron	pi-	3.2294E-02	3.1885E-03
1.5604E+00	1.0103E-01	7.4831E-01	3.2831E-01	4.8856E-01	AUTcollins	neutron	pi-	3.9244E-02	3.5746E-03
1.7989E+00	1.1955E-01	7.2976E-01	3.3107E-01	4.8423E-01	AUTcollins	neutron	pi-	5.1442E-02	4.4687E-03
1.1123E+00	6.6948E-02	8.0696E-01	3.2688E-01	6.6875E-01	AUTcollins	neutron	pi-	1.9053E-02	2.5382E-03
1.4046E+00	8.9441E-02	7.6179E-01	3.2909E-01	6.6994E-01	AUTcollins	neutron	pi-	3.4310E-02	3.2264E-03
1.7963E+00	1.1959E-01	7.2847E-01	3.3229E-01	6.7224E-01	AUTcollins	neutron	pi-	5.6179E-02	5.4474E-03
1.0969E+00	7.1730E-02	7.4303E-01	3.7191E-01	3.3438E-01	AUTcollins	neutron	pi-	1.7743E-02	2.6557E-03
1.1811E+00	8.2553E-02	6.9326E-01	3.7475E-01	3.1435E-01	AUTcollins	neutron	pi-	2.3734E-02	2.7295E-03
1.2921E+00	9.1268E-02	6.8589E-01	3.7556E-01	3.0850E-01	AUTcollins	neutron	pi-	2.7310E-02	2.8823E-03
1.4110E+00	1.0022E-01	6.8208E-01	3.7573E-01	3.0324E-01	AUTcollins	neutron	pi-	3.0866E-02	3.0648E-03
1.5421E+00	1.1022E-01	6.7786E-01	3.7596E-01	2.9800E-01	AUTcollins	neutron	pi-	3.4869E-02	3.2374E-03
1.6911E+00	1.2191E-01	6.7207E-01	3.7620E-01	2.9151E-01	AUTcollins	neutron	pi-	3.9537E-02	3.4951E-03
1.8353E+00	1.3708E-01	6.4912E-01	3.7795E-01	2.7929E-01	AUTcollins	neutron	pi-	4.6284E-02	3.8939E-03
1.9369E+00	1.5456E-01	6.0733E-01	3.8704E-01	2.6059E-01	AUTcollins	neutron	pi-	5.3371E-02	6.4991E-03
1.0714E+00	6.4432E-02	8.0700E-01	3.7284E-01	5.0291E-01	AUTcollins	neutron	pi-	1.5281E-02	2.3781E-03
1.1321E+00	7.3076E-02	7.5077E-01	3.7329E-01	4.9775E-01	AUTcollins	neutron	pi-	2.2847E-02	2.6906E-03
1.1888E+00	7.9488E-02	7.2461E-01	3.7434E-01	4.9424E-01	AUTcollins	neutron	pi-	2.7854E-02	2.9595E-03
1.2684E+00	8.6020E-02	7.1435E-01	3.7512E-01	4.9244E-01	AUTcollins	neutron	pi-	3.1932E-02	3.1617E-03
1.3680E+00	9.3584E-02	7.0821E-01	3.7531E-01	4.9117E-01	AUTcollins	neutron	pi-	3.6415E-02	3.4219E-03
1.4876E+00	1.0264E-01	7.0215E-01	3.7551E-01	4.8940E-01	AUTcollins	neutron	pi-	4.1863E-02	3.7475E-03
1.6357E+00	1.1412E-01	6.9444E-01	3.7580E-01	4.8738E-01	AUTcollins	neutron	pi-	4.9016E-02	4.2258E-03
1.8212E+00	1.3241E-01	6.6780E-01	3.7751E-01	4.8417E-01	AUTcollins	neutron	pi-	6.2793E-02	5.3119E-03
1.9853E+00	1.6682E-01	5.7657E-01	3.9714E-01	4.8360E-01	AUTcollins	neutron	pi-	9.3948E-02	3.9030E-01
1.0950E+00	6.6283E-02	8.0229E-01	3.7468E-01	6.7880E-01	AUTcollins	neutron	pi-	1.7632E-02	2.4966E-03
1.2268E+00	8.0471E-02	7.3907E-01	3.7565E-01	6.7601E-01	AUTcollins	neutron	pi-	2.9612E-02	3.0077E-03
1.4419E+00	9.8124E-02	7.1236E-01	3.7642E-01	6.7721E-01	AUTcollins	neutron	pi-	4.2172E-02	3.6690E-03
1.7502E+00	1.2554E-01	6.7733E-01	3.7747E-01	6.8053E-01	AUTcollins	neutron	pi-	6.3834E-02	5.1882E-03
1.3681E+00	9.0583E-02	7.4369E-01	3.7867E-01	8.6207E-01	AUTcollins	neutron	pi-	3.2399E-02	3.8384E-03
1.4888E+00	1.2205E-01	5.9203E-01	4.2556E-01	1.5242E-01	AUTcollins	neutron	pi-	2.3172E-02	2.8178E-03
1.9001E+00	1.6665E-01	5.5280E-01	4.3140E-01	1.3184E-01	AUTcollins	neutron	pi-	3.0429E-02	6.0972E-03
1.1166E+00	7.7392E-02	7.0147E-01	4.2232E-01	3.3229E-01	AUTcollins	neutron	pi-	1.9927E-02	2.7452E-03
1.2211E+00	9.0719E-02	6.5226E-01	4.2315E-01	3.1860E-01	AUTcollins	neutron	pi-	2.7080E-02	2.8609E-03
1.3359E+00	1.0131E-01	6.3889E-01	4.2424E-01	3.1480E-01	AUTcollins	neutron	pi-	3.2001E-02	3.0657E-03
1.4680E+00	1.1242E-01	6.3264E-01	4.2489E-01	3.1189E-01	AUTcollins	neutron	pi-	3.6880E-02	3.3260E-03
1.6184E+00	1.2500E-01	6.2732E-01	4.2499E-01	3.0922E-01	AUTcollins	neutron	pi-	4.2403E-02	3.6437E-03
