x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	1.200839E-04	-7.152479E-04	9.646548E-05
7.500000E-03	4.630108E-03	3.599760E-04	-3.258581E-03	2.558557E-04
1.250000E-02	9.684352E-03	5.317920E-04	-6.318516E-03	3.514544E-04
1.750000E-02	1.555154E-02	6.464408E-04	-9.625395E-03	4.062286E-04
2.250000E-02	2.198389E-02	7.181554E-04	-1.309576E-02	4.349689E-04
2.750000E-02	2.882867E-02	7.584401E-04	-1.669733E-02	4.466563E-04
3.250000E-02	3.598295E-02	7.763828E-04	-2.041670E-02	4.470073E-04
3.750000E-02	4.337165E-02	7.791885E-04	-2.424718E-02	4.398254E-04
4.250000E-02	5.093824E-02	7.726824E-04	-2.818321E-02	4.277466E-04
4.750000E-02	5.863350E-02	7.615540E-04	-3.221392E-02	4.126307E-04
5.250000E-02	6.642243E-02	7.497081E-04	-3.633383E-02	3.959906E-04
5.750000E-02	7.426850E-02	7.401634E-04	-4.052698E-02	3.789350E-04
6.250000E-02	8.214735E-02	7.352530E-04	-4.478557E-02	3.624751E-04
6.750000E-02	9.002760E-02	7.364258E-04	-4.908744E-02	3.473512E-04
7.250000E-02	9.789142E-02	7.444647E-04	-5.342479E-02	3.342937E-04
7.750000E-02	1.057145E-01	7.593926E-04	-5.777520E-02	3.237933E-04
8.250000E-02	1.134743E-01	7.807011E-04	-6.211957E-02	3.162256E-04
8.750000E-02	1.211580E-01	8.075806E-04	-6.644953E-02	3.118556E-04
9.250000E-02	1.287433E-01	8.389750E-04	-7.073841E-02	3.106860E-04
9.750000E-02	1.362137E-01	8.738277E-04	-7.497127E-02	3.126236E-04
1.025000E-01	1.435522E-01	9.111387E-04	-7.913024E-02	3.174346E-04
1.075000E-01	1.507525E-01	9.500854E-04	-8.321263E-02	3.248613E-04
1.125000E-01	1.577859E-01	9.898371E-04	-8.717973E-02	3.344634E-04
1.175000E-01	1.646461E-01	1.029834E-03	-9.102979E-02	3.459433E-04
1.225000E-01	1.713203E-01	1.069596E-03	-9.474810E-02	3.589725E-04
1.275000E-01	1.777994E-01	1.108767E-03	-9.832155E-02	3.732632E-04
1.325000E-01	1.840787E-01	1.147108E-03	-1.017512E-01	3.886193E-04
1.375000E-01	1.901390E-01	1.184355E-03	-1.050219E-01	4.048196E-04
1.425000E-01	1.959624E-01	1.220306E-03	-1.081031E-01	4.216116E-04
1.475000E-01	2.015505E-01	1.254926E-03	-1.110046E-01	4.389225E-04
1.525000E-01	2.068923E-01	1.288130E-03	-1.137167E-01	4.566189E-04
