x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	1.165152E-04	-7.152479E-04	9.374082E-05
7.500000E-03	4.630108E-03	3.507594E-04	-3.258581E-03	2.498279E-04
1.250000E-02	9.684352E-03	5.207415E-04	-6.318516E-03	3.450749E-04
1.750000E-02	1.555154E-02	6.362718E-04	-9.625395E-03	4.011883E-04
2.250000E-02	2.198389E-02	7.105162E-04	-1.309576E-02	4.321869E-04
2.750000E-02	2.882867E-02	7.541032E-04	-1.669733E-02	4.465772E-04
3.250000E-02	3.598295E-02	7.753898E-04	-2.041670E-02	4.497627E-04
3.750000E-02	4.337165E-02	7.809557E-04	-2.424718E-02	4.453269E-04
4.250000E-02	5.093824E-02	7.760861E-04	-2.818321E-02	4.357427E-04
4.750000E-02	5.863350E-02	7.650188E-04	-3.221392E-02	4.227432E-04
5.250000E-02	6.642243E-02	7.513202E-04	-3.633383E-02	4.077473E-04
5.750000E-02	7.426850E-02	7.378261E-04	-4.052698E-02	3.917964E-04
6.250000E-02	8.214735E-02	7.268860E-04	-4.478557E-02	3.758710E-04
6.750000E-02	9.002760E-02	7.201882E-04	-4.908744E-02	3.607171E-04
7.250000E-02	9.789142E-02	7.189564E-04	-5.342479E-02	3.471241E-04
7.750000E-02	1.057145E-01	7.237882E-04	-5.777520E-02	3.356930E-04
8.250000E-02	1.134743E-01	7.347846E-04	-6.211957E-02	3.269654E-04
8.750000E-02	1.211580E-01	7.516825E-04	-6.644953E-02	3.214149E-04
9.250000E-02	1.287433E-01	7.738572E-04	-7.073841E-02	3.192665E-04
9.750000E-02	1.362137E-01	8.005431E-04	-7.497127E-02	3.206334E-04
1.025000E-01	1.435522E-01	8.309052E-04	-7.913024E-02	3.254396E-04
1.075000E-01	1.507525E-01	8.641810E-04	-8.321263E-02	3.335189E-04
1.125000E-01	1.577859E-01	8.995428E-04	-8.717973E-02	3.444483E-04
1.175000E-01	1.646461E-01	9.363764E-04	-9.102979E-02	3.578903E-04
1.225000E-01	1.713203E-01	9.741239E-04	-9.474810E-02	3.734314E-04
1.275000E-01	1.777994E-01	1.012338E-03	-9.832155E-02	3.906717E-04
1.325000E-01	1.840787E-01	1.050676E-03	-1.017512E-01	4.092941E-04
1.375000E-01	1.901390E-01	1.088781E-03	-1.050219E-01	4.289519E-04
1.425000E-01	1.959624E-01	1.126357E-03	-1.081031E-01	4.492683E-04
1.475000E-01	2.015505E-01	1.163268E-03	-1.110046E-01	4.700647E-04
1.525000E-01	2.068923E-01	1.199340E-03	-1.137167E-01	4.911101E-04
1.575000E-01	2.119808E-01	1.234447E-03	-1.162328E-01	5.122123E-04
1.625000E-01	2.168103E-01	1.268496E-03	-1.185501E-01	5.332121E-04
1.675000E-01	2.213736E-01	1.301397E-03	-1.206623E-01	5.539531E-04
1.725000E-01	2.256671E-01	1.333095E-03	-1.225686E-01	5.743142E-04
1.775000E-01	2.296856E-01	1.363532E-03	-1.242665E-01	5.941779E-04
1.825000E-01	2.334266E-01	1.392674E-03	-1.257564E-01	6.134488E-04
1.875000E-01	2.368871E-01	1.420486E-03	-1.270382E-01	6.320368E-04
1.925000E-01	2.400628E-01	1.446932E-03	-1.281103E-01	6.498509E-04
1.975000E-01	2.429550E-01	1.472011E-03	-1.289776E-01	6.668379E-04
2.025000E-01	2.455613E-01	1.495702E-03	-1.296405E-01	6.829292E-04
2.075000E-01	2.478828E-01	1.518010E-03	-1.301032E-01	6.980812E-04
2.125000E-01	2.499201E-01	1.538938E-03	-1.303700E-01	7.122573E-04
2.175000E-01	2.516722E-01	1.558485E-03	-1.304429E-01	7.254134E-04
2.225000E-01	2.531444E-01	1.576693E-03	-1.303294E-01	7.375431E-04
2.275000E-01	2.543378E-01	1.593581E-03	-1.300345E-01	7.486308E-04
2.325000E-01	2.552530E-01	1.609169E-03	-1.295617E-01	7.586587E-04
2.375000E-01	2.558977E-01	1.623532E-03	-1.289200E-01	7.676479E-04
2.425000E-01	2.562742E-01	1.636710E-03	-1.281154E-01	7.756066E-04
2.475000E-01	2.563849E-01	1.648755E-03	-1.271526E-01	7.825407E-04
2.525000E-01	2.562378E-01	1.659756E-03	-1.260403E-01	7.884861E-04
2.575000E-01	2.558377E-01	1.669791E-03	-1.247867E-01	7.934810E-04
2.625000E-01	2.551902E-01	1.678945E-03	-1.233975E-01	7.975509E-04
2.675000E-01	2.542987E-01	1.687296E-03	-1.218798E-01	8.007368E-04
2.725000E-01	2.531748E-01	1.694978E-03	-1.202439E-01	8.031013E-04
2.775000E-01	2.518235E-01	1.702086E-03	-1.184961E-01	8.046852E-04
2.825000E-01	2.502492E-01	1.708711E-03	-1.166426E-01	8.055310E-04
2.875000E-01	2.484623E-01	1.714986E-03	-1.146923E-01	8.057003E-04
2.925000E-01	2.464711E-01	1.721030E-03	-1.126545E-01	8.052584E-04
2.975000E-01	2.442830E-01	1.726954E-03	-1.105345E-01	8.042444E-04
3.025000E-01	2.419023E-01	1.732840E-03	-1.083399E-01	8.027122E-04
3.075000E-01	2.393416E-01	1.738826E-03	-1.060789E-01	8.007183E-04
3.125000E-01	2.366092E-01	1.745011E-03	-1.037601E-01	7.983238E-04
3.175000E-01	2.337131E-01	1.751484E-03	-1.013882E-01	7.955565E-04
3.225000E-01	2.306588E-01	1.758303E-03	-9.897092E-02	7.924640E-04
3.275000E-01	2.274576E-01	1.765558E-03	-9.651524E-02	7.890868E-04
3.325000E-01	2.241198E-01	1.773320E-03	-9.402876E-02	7.854671E-04
3.375000E-01	2.206529E-01	1.781623E-03	-9.151707E-02	7.816280E-04
3.425000E-01	2.170642E-01	1.790483E-03	-8.898484E-02	7.775803E-04
3.475000E-01	2.133613E-01	1.799904E-03	-8.644015E-02	7.733613E-04
3.525000E-01	2.095565E-01	1.809914E-03	-8.388731E-02	7.689723E-04
3.575000E-01	2.056582E-01	1.820492E-03	-8.133399E-02	7.644425E-04
3.625000E-01	2.016734E-01	1.831592E-03	-7.878199E-02	7.597436E-04
3.675000E-01	1.976095E-01	1.843153E-03	-7.623829E-02	7.548937E-04
3.725000E-01	1.934754E-01	1.855118E-03	-7.370813E-02	7.498937E-04
3.775000E-01	1.892816E-01	1.867430E-03	-7.119470E-02	7.447222E-04
3.825000E-01	1.850361E-01	1.880004E-03	-6.870419E-02	7.393890E-04
3.875000E-01	1.807446E-01	1.892721E-03	-6.623692E-02	7.338410E-04
3.925000E-01	1.764147E-01	1.905471E-03	-6.379903E-02	7.280882E-04
3.975000E-01	1.720543E-01	1.918143E-03	-6.139466E-02	7.221213E-04
4.025000E-01	1.676721E-01	1.930633E-03	-5.902479E-02	7.158964E-04
4.075000E-01	1.632764E-01	1.942833E-03	-5.669480E-02	7.094243E-04
4.125000E-01	1.588719E-01	1.954594E-03	-5.440462E-02	7.026519E-04
4.175000E-01	1.544649E-01	1.965783E-03	-5.215732E-02	6.955678E-04
4.225000E-01	1.500631E-01	1.976289E-03	-4.995805E-02	6.881948E-04
4.275000E-01	1.456722E-01	1.985985E-03	-4.780564E-02	6.804752E-04
4.325000E-01	1.412998E-01	1.994770E-03	-4.570280E-02	6.724082E-04
4.375000E-01	1.369523E-01	2.002542E-03	-4.365203E-02	6.639966E-04
4.425000E-01	1.326319E-01	2.009143E-03	-4.165160E-02	6.551849E-04
4.475000E-01	1.283454E-01	2.014490E-03	-3.970517E-02	6.460040E-04
4.525000E-01	1.240989E-01	2.018503E-03	-3.781515E-02	6.364754E-04
4.575000E-01	1.198955E-01	2.021067E-03	-3.597913E-02	6.265463E-04
4.625000E-01	1.157418E-01	2.022132E-03	-3.419895E-02	6.162387E-04
4.675000E-01	1.116428E-01	2.021644E-03	-3.247566E-02	6.055693E-04
4.725000E-01	1.075988E-01	2.019469E-03	-3.080702E-02	5.944984E-04
4.775000E-01	1.036154E-01	2.015586E-03	-2.919509E-02	5.830720E-04
4.825000E-01	9.969797E-02	2.009984E-03	-2.764159E-02	5.713394E-04
4.875000E-01	9.584704E-02	2.002573E-03	-2.614360E-02	5.592614E-04
4.925000E-01	9.206689E-02	1.993349E-03	-2.470109E-02	5.468601E-04
4.975000E-01	8.836230E-02	1.982338E-03	-2.331465E-02	5.341774E-04
5.025000E-01	8.473259E-02	1.969461E-03	-2.198227E-02	5.212015E-04
5.075000E-01	8.117972E-02	1.954707E-03	-2.070338E-02	5.079559E-04
5.125000E-01	7.770859E-02	1.938148E-03	-1.947890E-02	4.945057E-04
5.175000E-01	7.432090E-02	1.919803E-03	-1.830788E-02	4.808766E-04
5.225000E-01	7.101552E-02	1.899625E-03	-1.718753E-02	4.670476E-04
5.275000E-01	6.779558E-02	1.877690E-03	-1.611773E-02	4.530685E-04
5.325000E-01	6.466356E-02	1.854076E-03	-1.509833E-02	4.389945E-04
5.375000E-01	6.161678E-02	1.828726E-03	-1.412911E-02	4.248851E-04
5.425000E-01	5.865664E-02	1.801708E-03	-1.320640E-02	4.106975E-04
5.475000E-01	5.578617E-02	1.773155E-03	-1.232605E-02	3.963654E-04
5.525000E-01	5.300553E-02	1.743130E-03	-1.149031E-02	3.820236E-04
5.575000E-01	5.031296E-02	1.711641E-03	-1.070111E-02	3.678125E-04
5.625000E-01	4.770929E-02	1.678790E-03	-9.953369E-03	3.536376E-04
5.675000E-01	4.519439E-02	1.644659E-03	-9.246237E-03	3.395441E-04
5.725000E-01	4.276772E-02	1.609325E-03	-8.578462E-03	3.255636E-04
5.775000E-01	4.042888E-02	1.572879E-03	-7.948731E-03	3.117256E-04
5.825000E-01	3.817708E-02	1.535408E-03	-7.355546E-03	2.980517E-04
5.875000E-01	3.601146E-02	1.497000E-03	-6.797579E-03	2.845692E-04
5.925000E-01	3.393104E-02	1.457751E-03	-6.273403E-03	2.713000E-04
5.975000E-01	3.193473E-02	1.417755E-03	-5.781612E-03	2.582653E-04
6.025000E-01	3.002130E-02	1.377109E-03	-5.320880E-03	2.454880E-04
6.075000E-01	2.818933E-02	1.335905E-03	-4.889771E-03	2.329837E-04
6.125000E-01	2.643745E-02	1.294243E-03	-4.486991E-03	2.207726E-04
6.175000E-01	2.476438E-02	1.252234E-03	-4.111260E-03	2.088732E-04
6.225000E-01	2.316832E-02	1.209966E-03	-3.761199E-03	1.972961E-04
6.275000E-01	2.164755E-02	1.167533E-03	-3.435580E-03	1.860569E-04
6.325000E-01	2.020028E-02	1.125030E-03	-3.133128E-03	1.751656E-04
6.375000E-01	1.882473E-02	1.082552E-03	-2.852603E-03	1.646308E-04
6.425000E-01	1.751904E-02	1.040193E-03	-2.592876E-03	1.544639E-04
6.475000E-01	1.628121E-02	9.980382E-04	-2.352761E-03	1.446699E-04
6.525000E-01	1.510931E-02	9.561771E-04	-2.131122E-03	1.352527E-04
6.575000E-01	1.400138E-02	9.146976E-04	-1.926914E-03	1.262182E-04
6.625000E-01	1.295525E-02	8.736725E-04	-1.739053E-03	1.175664E-04
6.675000E-01	1.196890E-02	8.331820E-04	-1.566533E-03	1.092980E-04
6.725000E-01	1.104033E-02	7.933053E-04	-1.408406E-03	1.014138E-04
6.775000E-01	1.016729E-02	7.541027E-04	-1.263712E-03	9.391008E-05
6.825000E-01	9.347747E-03	7.156429E-04	-1.131559E-03	8.678360E-05
6.875000E-01	8.579665E-03	6.779934E-04	-1.011104E-03	8.003098E-05
6.925000E-01	7.860829E-03	6.412018E-04	-9.015134E-04	7.364538E-05
6.975000E-01	7.189208E-03	6.053247E-04	-8.020049E-04	6.761989E-05
7.025000E-01	6.562803E-03	5.704157E-04	-7.118534E-04	6.194828E-05
7.075000E-01	5.979477E-03	5.365108E-04	-6.303454E-04	5.662131E-05
7.125000E-01	5.437236E-03	5.036507E-04	-5.568004E-04	5.162848E-05
7.175000E-01	4.934121E-03	4.718725E-04	-4.906125E-04	4.696206E-05
7.225000E-01	4.468130E-03	4.412013E-04	-4.311757E-04	4.261051E-05
7.275000E-01	4.037344E-03	4.116618E-04	-3.779113E-04	3.856083E-05
7.325000E-01	3.639892E-03	3.832745E-04	-3.303270E-04	3.480485E-05
7.375000E-01	3.273961E-03	3.560573E-04	-2.879054E-04	3.132820E-05
7.425000E-01	2.937705E-03	3.300152E-04	-2.501780E-04	2.811777E-05
7.475000E-01	2.629388E-03	3.051546E-04	-2.167451E-04	2.516456E-05
7.525000E-01	2.347377E-03	2.814843E-04	-1.871754E-04	2.245254E-05
7.575000E-01	2.089957E-03	2.589927E-04	-1.611060E-04	1.997008E-05
7.625000E-01	1.855554E-03	2.376747E-04	-1.381978E-04	1.770527E-05
7.675000E-01	1.642678E-03	2.175246E-04	-1.181243E-04	1.564454E-05
7.725000E-01	1.449820E-03	1.985233E-04	-1.005965E-04	1.377605E-05
7.775000E-01	1.275557E-03	1.806516E-04	-8.533279E-05	1.208597E-05
7.825000E-01	1.118552E-03	1.638908E-04	-7.210638E-05	1.056514E-05
7.875000E-01	9.775220E-04	1.482184E-04	-6.066966E-05	9.198813E-06
7.925000E-01	8.511923E-04	1.336015E-04	-5.082207E-05	7.976325E-06
7.975000E-01	7.384002E-04	1.200119E-04	-4.238703E-05	6.888359E-06
8.025000E-01	6.380369E-04	1.074185E-04	-3.517790E-05	5.921587E-06
8.075000E-01	5.490286E-04	9.578394E-05	-2.904775E-05	5.066765E-06
8.125000E-01	4.704542E-04	8.508560E-05	-2.386950E-05	4.316077E-06
8.175000E-01	4.012834E-04	7.526982E-05	-1.951648E-05	3.659870E-06
8.225000E-01	3.405062E-04	6.627205E-05	-1.584308E-05	3.082675E-06
8.275000E-01	2.875382E-04	5.809747E-05	-1.279352E-05	2.584186E-06
8.325000E-01	2.415041E-04	5.068509E-05	-1.026455E-05	2.153561E-06
8.375000E-01	2.016867E-04	4.399300E-05	-8.180288E-06	1.783722E-06
8.425000E-01	1.674186E-04	3.797846E-05	-6.473096E-06	1.467875E-06
8.475000E-01	1.380827E-04	3.259864E-05	-5.083774E-06	1.199725E-06
8.525000E-01	1.131094E-04	2.781052E-05	-3.960982E-06	9.735111E-07
8.575000E-01	9.197607E-05	2.357143E-05	-3.060031E-06	7.838942E-07
8.625000E-01	7.420719E-05	1.983984E-05	-2.342744E-06	6.260818E-07
8.675000E-01	5.937216E-05	1.657561E-05	-1.776526E-06	4.957540E-07
8.725000E-01	4.707424E-05	1.373773E-05	-1.333295E-06	3.889200E-07
8.775000E-01	3.696154E-05	1.128802E-05	-9.897288E-07	3.021212E-07
8.825000E-01	2.871689E-05	9.189241E-06	-7.260451E-07	2.322191E-07
8.875000E-01	2.205696E-05	7.405469E-06	-5.258824E-07	1.764750E-07
8.925000E-01	1.673128E-05	5.902699E-06	-3.756664E-07	1.324669E-07
8.975000E-01	1.251934E-05	4.648749E-06	-2.644046E-07	9.813027E-08
9.025000E-01	9.227933E-06	3.613173E-06	-1.830843E-07	7.164916E-08
9.075000E-01	6.690088E-06	2.767794E-06	-1.245524E-07	5.150227E-08
9.125000E-01	4.761485E-06	2.086202E-06	-8.307932E-08	3.638107E-08
9.175000E-01	3.319929E-06	1.544453E-06	-5.424303E-08	2.522057E-08
9.225000E-01	2.261821E-06	1.120482E-06	-3.457359E-08	1.711800E-08
9.275000E-01	1.501109E-06	7.945264E-07	-2.145408E-08	1.134918E-08
9.325000E-01	9.668238E-07	5.488592E-07	-1.291140E-08	7.325577E-09
9.375000E-01	6.015943E-07	3.679362E-07	-7.508631E-09	4.589663E-09
9.425000E-01	3.595383E-07	2.381477E-07	-4.195405E-09	2.777296E-09
9.475000E-01	2.048973E-07	1.479042E-07	-2.236325E-09	1.613324E-09
9.525000E-01	1.102946E-07	8.742145E-08	-1.127779E-09	8.933574E-10
9.575000E-01	5.535587E-08	4.862755E-08	-5.315087E-10	4.666171E-10
9.625000E-01	2.546521E-08	2.508455E-08	-2.302791E-10	2.266930E-10
9.675000E-01	1.046688E-08	1.173847E-08	-8.935284E-11	1.001426E-10
9.725000E-01	3.705073E-09	4.828429E-09	-3.006621E-11	3.915557E-11
9.775000E-01	1.063279E-09	1.657455E-09	-8.256208E-12	1.286079E-11
9.825000E-01	2.210956E-10	4.308045E-10	-1.641968E-12	3.196983E-12
9.875000E-01	2.702413E-11	7.093422E-11	-1.947002E-13	5.106490E-13
9.925000E-01	1.140445E-12	4.709312E-12	-8.093258E-15	3.339069E-14
9.975000E-01	3.895018E-15	4.305665E-14	-4.994815E-17	5.515935E-16
