x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	1.441642E-04	-7.152479E-04	1.153420E-04
7.500000E-03	4.630108E-03	4.496436E-04	-3.258581E-03	3.175001E-04
1.250000E-02	9.684352E-03	6.793616E-04	-6.318516E-03	4.451263E-04
1.750000E-02	1.555154E-02	8.400069E-04	-9.625395E-03	5.224301E-04
2.250000E-02	2.198389E-02	9.463101E-04	-1.309576E-02	5.665573E-04
2.750000E-02	2.882867E-02	1.011029E-03	-1.669733E-02	5.883051E-04
3.250000E-02	3.598295E-02	1.044558E-03	-2.041670E-02	5.947220E-04
3.750000E-02	4.337165E-02	1.055267E-03	-2.424718E-02	5.906003E-04
4.250000E-02	5.093824E-02	1.049996E-03	-2.818321E-02	5.793318E-04
4.750000E-02	5.863350E-02	1.034310E-03	-3.221392E-02	5.633595E-04
5.250000E-02	6.642243E-02	1.012967E-03	-3.633383E-02	5.447213E-04
5.750000E-02	7.426850E-02	9.898361E-04	-4.052698E-02	5.249478E-04
6.250000E-02	8.214735E-02	9.682304E-04	-4.478557E-02	5.054684E-04
6.750000E-02	9.002760E-02	9.506775E-04	-4.908744E-02	4.873586E-04
7.250000E-02	9.789142E-02	9.391720E-04	-5.342479E-02	4.716933E-04
7.750000E-02	1.057145E-01	9.349252E-04	-5.777520E-02	4.592149E-04
8.250000E-02	1.134743E-01	9.384835E-04	-6.211957E-02	4.504987E-04
8.750000E-02	1.211580E-01	9.498442E-04	-6.644953E-02	4.459512E-04
9.250000E-02	1.287433E-01	9.684240E-04	-7.073841E-02	4.455896E-04
9.750000E-02	1.362137E-01	9.933367E-04	-7.497127E-02	4.492747E-04
1.025000E-01	1.435522E-01	1.023504E-03	-7.913024E-02	4.566477E-04
1.075000E-01	1.507525E-01	1.057868E-03	-8.321263E-02	4.672998E-04
1.125000E-01	1.577859E-01	1.095255E-03	-8.717973E-02	4.805482E-04
1.175000E-01	1.646461E-01	1.134752E-03	-9.102979E-02	4.959079E-04
1.225000E-01	1.713203E-01	1.175525E-03	-9.474810E-02	5.128483E-04
1.275000E-01	1.777994E-01	1.216904E-03	-9.832155E-02	5.308994E-04
1.325000E-01	1.840787E-01	1.258370E-03	-1.017512E-01	5.497300E-04
1.375000E-01	1.901390E-01	1.299421E-03	-1.050219E-01	5.689832E-04
1.425000E-01	1.959624E-01	1.339657E-03	-1.081031E-01	5.882743E-04
1.475000E-01	2.015505E-01	1.378891E-03	-1.110046E-01	6.074867E-04
1.525000E-01	2.068923E-01	1.416909E-03	-1.137167E-01	6.264350E-04
1.575000E-01	2.119808E-01	1.453575E-03	-1.162328E-01	6.449831E-04
1.625000E-01	2.168103E-01	1.488797E-03	-1.185501E-01	6.630351E-04
1.675000E-01	2.213736E-01	1.522497E-03	-1.206623E-01	6.804939E-04
1.725000E-01	2.256671E-01	1.554641E-03	-1.225686E-01	6.973006E-04
1.775000E-01	2.296856E-01	1.585191E-03	-1.242665E-01	7.133931E-04
1.825000E-01	2.334266E-01	1.614135E-03	-1.257564E-01	7.287281E-04
1.875000E-01	2.368871E-01	1.641455E-03	-1.270382E-01	7.432587E-04
1.925000E-01	2.400628E-01	1.667123E-03	-1.281103E-01	7.569276E-04
1.975000E-01	2.429550E-01	1.691144E-03	-1.289776E-01	7.697121E-04
2.025000E-01	2.455613E-01	1.713493E-03	-1.296405E-01	7.815610E-04
2.075000E-01	2.478828E-01	1.734160E-03	-1.301032E-01	7.924423E-04
2.125000E-01	2.499201E-01	1.753124E-03	-1.303700E-01	8.023228E-04
2.175000E-01	2.516722E-01	1.770349E-03	-1.304429E-01	8.111529E-04
2.225000E-01	2.531444E-01	1.785836E-03	-1.303294E-01	8.189176E-04
2.275000E-01	2.543378E-01	1.799551E-03	-1.300345E-01	8.255849E-04
2.325000E-01	2.552530E-01	1.811454E-03	-1.295617E-01	8.311158E-04
2.375000E-01	2.558977E-01	1.821553E-03	-1.289200E-01	8.355092E-04
2.425000E-01	2.562742E-01	1.829817E-03	-1.281154E-01	8.387472E-04
2.475000E-01	2.563849E-01	1.836218E-03	-1.271526E-01	8.408074E-04
2.525000E-01	2.562378E-01	1.840768E-03	-1.260403E-01	8.416993E-04
2.575000E-01	2.558377E-01	1.843463E-03	-1.247867E-01	8.414346E-04
2.625000E-01	2.551902E-01	1.844308E-03	-1.233975E-01	8.400128E-04
2.675000E-01	2.542987E-01	1.843300E-03	-1.218798E-01	8.374523E-04
2.725000E-01	2.531748E-01	1.840504E-03	-1.202439E-01	8.337972E-04
2.775000E-01	2.518235E-01	1.835944E-03	-1.184961E-01	8.290720E-04
2.825000E-01	2.502492E-01	1.829648E-03	-1.166426E-01	8.233082E-04
2.875000E-01	2.484623E-01	1.821703E-03	-1.146923E-01	8.165616E-04
2.925000E-01	2.464711E-01	1.812187E-03	-1.126545E-01	8.088974E-04
2.975000E-01	2.442830E-01	1.801185E-03	-1.105345E-01	8.003597E-04
3.025000E-01	2.419023E-01	1.788768E-03	-1.083399E-01	7.910143E-04
3.075000E-01	2.393416E-01	1.775082E-03	-1.060789E-01	7.809357E-04
3.125000E-01	2.366092E-01	1.760250E-03	-1.037601E-01	7.702089E-04
3.175000E-01	2.337131E-01	1.744405E-03	-1.013882E-01	7.588925E-04
3.225000E-01	2.306588E-01	1.727670E-03	-9.897092E-02	7.470709E-04
3.275000E-01	2.274576E-01	1.710218E-03	-9.651524E-02	7.348266E-04
3.325000E-01	2.241198E-01	1.692227E-03	-9.402876E-02	7.222490E-04
3.375000E-01	2.206529E-01	1.673857E-03	-9.151707E-02	7.094137E-04
