x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	7.948304E-05	-7.152479E-04	6.323487E-05
7.500000E-03	4.630108E-03	2.352378E-04	-3.258581E-03	1.643575E-04
1.250000E-02	9.684352E-03	3.484424E-04	-6.318516E-03	2.247190E-04
1.750000E-02	1.555154E-02	4.269809E-04	-9.625395E-03	2.598372E-04
2.250000E-02	2.198389E-02	4.796524E-04	-1.309576E-02	2.790933E-04
2.750000E-02	2.882867E-02	5.132249E-04	-1.669733E-02	2.880343E-04
3.250000E-02	3.598295E-02	5.328365E-04	-2.041670E-02	2.901257E-04
3.750000E-02	4.337165E-02	5.423896E-04	-2.424718E-02	2.876347E-04
4.250000E-02	5.093824E-02	5.448943E-04	-2.818321E-02	2.821051E-04
4.750000E-02	5.863350E-02	5.426408E-04	-3.221392E-02	2.745999E-04
5.250000E-02	6.642243E-02	5.374704E-04	-3.633383E-02	2.659758E-04
5.750000E-02	7.426850E-02	5.307542E-04	-4.052698E-02	2.568386E-04
6.250000E-02	8.214735E-02	5.236038E-04	-4.478557E-02	2.477465E-04
6.750000E-02	9.002760E-02	5.167920E-04	-4.908744E-02	2.390941E-04
7.250000E-02	9.789142E-02	5.109405E-04	-5.342479E-02	2.312947E-04
7.750000E-02	1.057145E-01	5.064315E-04	-5.777520E-02	2.246309E-04
8.250000E-02	1.134743E-01	5.034981E-04	-6.211957E-02	2.193475E-04
8.750000E-02	1.211580E-01	5.022816E-04	-6.644953E-02	2.156601E-04
9.250000E-02	1.287433E-01	5.027779E-04	-7.073841E-02	2.136465E-04
9.750000E-02	1.362137E-01	5.049299E-04	-7.497127E-02	2.133504E-04
1.025000E-01	1.435522E-01	5.086253E-04	-7.913024E-02	2.147323E-04
1.075000E-01	1.507525E-01	5.137546E-04	-8.321263E-02	2.177289E-04
1.125000E-01	1.577859E-01	5.201140E-04	-8.717973E-02	2.221321E-04
1.175000E-01	1.646461E-01	5.275717E-04	-9.102979E-02	2.277996E-04
1.225000E-01	1.713203E-01	5.359762E-04	-9.474810E-02	2.345372E-04
1.275000E-01	1.777994E-01	5.451952E-04	-9.832155E-02	2.421514E-04
1.325000E-01	1.840787E-01	5.551197E-04	-1.017512E-01	2.504884E-04
1.375000E-01	1.901390E-01	5.656065E-04	-1.050219E-01	2.593652E-04
1.425000E-01	1.959624E-01	5.765278E-04	-1.081031E-01	2.685733E-04
1.475000E-01	2.015505E-01	5.878220E-04	-1.110046E-01	2.780178E-04
1.525000E-01	2.068923E-01	5.993961E-04	-1.137167E-01	2.875673E-04
1.575000E-01	2.119808E-01	6.111724E-04	-1.162328E-01	2.971105E-04
1.625000E-01	2.168103E-01	6.230813E-04	-1.185501E-01	3.065542E-04
1.675000E-01	2.213736E-01	6.350497E-04	-1.206623E-01	3.158062E-04
1.725000E-01	2.256671E-01	6.470154E-04	-1.225686E-01	3.247943E-04
1.775000E-01	2.296856E-01	6.589123E-04	-1.242665E-01	3.334491E-04
1.825000E-01	2.334266E-01	6.706815E-04	-1.257564E-01	3.417139E-04
1.875000E-01	2.368871E-01	6.822624E-04	-1.270382E-01	3.495360E-04
1.925000E-01	2.400628E-01	6.935916E-04	-1.281103E-01	3.568630E-04
1.975000E-01	2.429550E-01	7.046219E-04	-1.289776E-01	3.636646E-04
2.025000E-01	2.455613E-01	7.152972E-04	-1.296405E-01	3.699028E-04
