x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	1.281407E-04	-7.152479E-04	1.019472E-04
7.500000E-03	4.630108E-03	3.974702E-04	-3.258581E-03	2.773818E-04
1.250000E-02	9.684352E-03	6.018911E-04	-6.318516E-03	3.872144E-04
1.750000E-02	1.555154E-02	7.481381E-04	-9.625395E-03	4.534252E-04
2.250000E-02	2.198389E-02	8.490892E-04	-1.309576E-02	4.910529E-04
2.750000E-02	2.882867E-02	9.156791E-04	-1.669733E-02	5.094551E-04
3.250000E-02	3.598295E-02	9.567018E-04	-2.041670E-02	5.146937E-04
3.750000E-02	4.337165E-02	9.791369E-04	-2.424718E-02	5.108650E-04
4.250000E-02	5.093824E-02	9.885761E-04	-2.818321E-02	5.008514E-04
4.750000E-02	5.863350E-02	9.894243E-04	-3.221392E-02	4.867157E-04
5.250000E-02	6.642243E-02	9.853178E-04	-3.633383E-02	4.701733E-04
5.750000E-02	7.426850E-02	9.790297E-04	-4.052698E-02	4.525047E-04
6.250000E-02	8.214735E-02	9.728094E-04	-4.478557E-02	4.349087E-04
6.750000E-02	9.002760E-02	9.682023E-04	-4.908744E-02	4.182878E-04
7.250000E-02	9.789142E-02	9.663736E-04	-5.342479E-02	4.035563E-04
7.750000E-02	1.057145E-01	9.679359E-04	-5.777520E-02	3.913593E-04
8.250000E-02	1.134743E-01	9.731241E-04	-6.211957E-02	3.822162E-04
8.750000E-02	1.211580E-01	9.819269E-04	-6.644953E-02	3.765171E-04
9.250000E-02	1.287433E-01	9.940096E-04	-7.073841E-02	3.743286E-04
9.750000E-02	1.362137E-01	1.008921E-03	-7.497127E-02	3.755821E-04
1.025000E-01	1.435522E-01	1.026113E-03	-7.913024E-02	3.800122E-04
1.075000E-01	1.507525E-01	1.045078E-03	-8.321263E-02	3.872934E-04
1.125000E-01	1.577859E-01	1.065160E-03	-8.717973E-02	3.968543E-04
1.175000E-01	1.646461E-01	1.085895E-03	-9.102979E-02	4.082743E-04
1.225000E-01	1.713203E-01	1.106828E-03	-9.474810E-02	4.210865E-04
1.275000E-01	1.777994E-01	1.127591E-03	-9.832155E-02	4.348710E-04
1.325000E-01	1.840787E-01	1.147903E-03	-1.017512E-01	4.493230E-04
1.375000E-01	1.901390E-01	1.167452E-03	-1.050219E-01	4.641211E-04
1.425000E-01	1.959624E-01	1.185994E-03	-1.081031E-01	4.789271E-04
1.475000E-01	2.015505E-01	1.203449E-03	-1.110046E-01	4.936282E-04
1.525000E-01	2.068923E-01	1.219701E-03	-1.137167E-01	5.080617E-04
1.575000E-01	2.119808E-01	1.234691E-03	-1.162328E-01	5.221116E-04
1.625000E-01	2.168103E-01	1.248395E-03	-1.185501E-01	5.356999E-04
1.675000E-01	2.213736E-01	1.260799E-03	-1.206623E-01	5.487532E-04
1.725000E-01	2.256671E-01	1.271924E-03	-1.225686E-01	5.612334E-04
1.775000E-01	2.296856E-01	1.281793E-03	-1.242665E-01	5.731036E-04
1.825000E-01	2.334266E-01	1.290451E-03	-1.257564E-01	5.843454E-04
1.875000E-01	2.368871E-01	1.297939E-03	-1.270382E-01	5.949399E-04
1.925000E-01	2.400628E-01	1.304294E-03	-1.281103E-01	6.048618E-04
1.975000E-01	2.429550E-01	1.309582E-03	-1.289776E-01	6.141145E-04
2.025000E-01	2.455613E-01	1.313842E-03	-1.296405E-01	6.226797E-04
2.075000E-01	2.478828E-01	1.317130E-03	-1.301032E-01	6.305545E-04
