x	xu	dxu	xd	dxd
2.500000E-03	8.957845E-04	2.847116E-05	-7.152479E-04	9.772788E-05
7.500000E-03	4.630108E-03	1.452319E-04	-3.258581E-03	4.449315E-04
1.250000E-02	9.684352E-03	2.998378E-04	-6.318516E-03	8.621749E-04
1.750000E-02	1.555154E-02	4.753607E-04	-9.625395E-03	1.312586E-03
2.250000E-02	2.198389E-02	6.635787E-04	-1.309576E-02	1.784770E-03
2.750000E-02	2.882867E-02	8.595478E-04	-1.669733E-02	2.274336E-03
3.250000E-02	3.598295E-02	1.060074E-03	-2.041670E-02	2.779477E-03
3.750000E-02	4.337165E-02	1.262968E-03	-2.424718E-02	3.299310E-03
4.250000E-02	5.093824E-02	1.466728E-03	-2.818321E-02	3.833107E-03
4.750000E-02	5.863350E-02	1.670175E-03	-3.221392E-02	4.379430E-03
5.250000E-02	6.642243E-02	1.872631E-03	-3.633383E-02	4.937575E-03
5.750000E-02	7.426850E-02	2.073456E-03	-4.052698E-02	5.505422E-03
6.250000E-02	8.214735E-02	2.272421E-03	-4.478557E-02	6.081964E-03
6.750000E-02	9.002760E-02	2.469159E-03	-4.908744E-02	6.664251E-03
7.250000E-02	9.789142E-02	2.663734E-03	-5.342479E-02	7.251288E-03
7.750000E-02	1.057145E-01	2.856068E-03	-5.777520E-02	7.840100E-03
8.250000E-02	1.134743E-01	3.046180E-03	-6.211957E-02	8.428164E-03
8.750000E-02	1.211580E-01	3.234367E-03	-6.644953E-02	9.014421E-03
9.250000E-02	1.287433E-01	3.420705E-03	-7.073841E-02	9.595330E-03
9.750000E-02	1.362137E-01	3.605431E-03	-7.497127E-02	1.016894E-02
1.025000E-01	1.435522E-01	3.788781E-03	-7.913024E-02	1.073290E-02
1.075000E-01	1.507525E-01	3.971265E-03	-8.321263E-02	1.128694E-02
1.125000E-01	1.577859E-01	4.152799E-03	-8.717973E-02	1.182587E-02
1.175000E-01	1.646461E-01	4.333866E-03	-9.102979E-02	1.234952E-02
1.225000E-01	1.713203E-01	4.514755E-03	-9.474810E-02	1.285599E-02
