# Q2	x	y	z	pT	obs	target	hadron	value	error
1.1283E+00	7.1678E-02	7.6455E-01	3.2696E-01	2.9196E-01	AUTcollins	proton	pi+	2.6720E-02	1.2781E-02
1.4381E+00	9.4172E-02	7.4006E-01	3.3006E-01	2.9036E-01	AUTcollins	proton	pi+	3.9490E-02	1.1998E-02
1.8055E+00	1.2188E-01	7.1862E-01	3.3344E-01	2.9023E-01	AUTcollins	proton	pi+	5.4848E-02	1.5982E-02
1.1406E+00	6.9787E-02	7.9405E-01	3.2600E-01	4.9533E-01	AUTcollins	proton	pi+	3.2471E-02	1.1059E-02
1.4506E+00	9.1321E-02	7.6966E-01	3.2778E-01	4.9521E-01	AUTcollins	proton	pi+	4.8952E-02	1.0899E-02
1.7849E+00	1.1656E-01	7.4328E-01	3.3039E-01	4.9329E-01	AUTcollins	proton	pi+	6.9373E-02	1.2545E-02
1.3358E+00	8.2203E-02	7.9032E-01	3.2843E-01	6.9006E-01	AUTcollins	proton	pi+	4.2813E-02	1.1117E-02
1.8375E+00	1.2089E-01	7.3766E-01	3.3227E-01	6.8339E-01	AUTcollins	proton	pi+	7.8867E-02	2.1668E-02
1.1105E+00	7.5384E-02	7.1618E-01	3.7372E-01	2.8277E-01	AUTcollins	proton	pi+	2.9552E-02	1.2022E-02
1.2704E+00	9.0725E-02	6.7852E-01	3.7600E-01	2.6957E-01	AUTcollins	proton	pi+	3.8787E-02	1.2091E-02
1.4704E+00	1.0654E-01	6.6874E-01	3.7669E-01	2.6744E-01	AUTcollins	proton	pi+	4.6866E-02	1.2136E-02
1.7209E+00	1.2770E-01	6.5329E-01	3.7797E-01	2.6303E-01	AUTcollins	proton	pi+	5.7117E-02	1.2119E-02
1.9078E+00	1.4960E-01	6.1824E-01	3.8399E-01	2.4635E-01	AUTcollins	proton	pi+	6.5779E-02	1.8719E-02
1.1279E+00	7.2050E-02	7.6162E-01	3.7382E-01	4.9603E-01	AUTcollins	proton	pi+	3.5420E-02	1.0991E-02
1.3278E+00	8.9977E-02	7.1507E-01	3.7523E-01	4.9396E-01	AUTcollins	proton	pi+	5.3321E-02	1.0957E-02
1.5972E+00	1.1105E-01	6.9738E-01	3.7584E-01	4.9350E-01	AUTcollins	proton	pi+	7.0166E-02	1.1043E-02
1.8321E+00	1.3639E-01	6.5198E-01	3.7895E-01	4.8920E-01	AUTcollins	proton	pi+	9.4671E-02	1.3105E-02
1.2488E+00	8.0356E-02	7.5731E-01	3.7551E-01	6.8027E-01	AUTcollins	proton	pi+	4.4670E-02	1.0697E-02
1.6866E+00	1.1797E-01	6.9606E-01	3.7734E-01	6.7799E-01	AUTcollins	proton	pi+	8.2026E-02	1.2308E-02
1.3956E+00	9.3092E-02	7.3752E-01	3.7825E-01	8.7264E-01	AUTcollins	proton	pi+	5.3165E-02	1.6151E-02
1.3104E+00	1.0364E-01	6.1604E-01	4.2515E-01	1.3432E-01	AUTcollins	proton	pi+	2.4494E-02	1.1261E-02
1.7791E+00	1.4925E-01	5.7871E-01	4.2769E-01	1.3028E-01	AUTcollins	proton	pi+	3.5579E-02	1.4648E-02
1.1332E+00	8.0316E-02	6.8674E-01	4.2340E-01	3.1257E-01	AUTcollins	proton	pi+	3.4032E-02	1.2505E-02
1.3120E+00	1.0004E-01	6.3559E-01	4.2493E-01	3.0605E-01	AUTcollins	proton	pi+	4.8110E-02	1.2757E-02
1.5547E+00	1.2135E-01	6.2101E-01	4.2536E-01	3.0414E-01	AUTcollins	proton	pi+	5.9944E-02	1.2429E-02
1.8028E+00	1.4939E-01	5.8607E-01	4.2737E-01	2.9977E-01	AUTcollins	proton	pi+	7.5589E-02	1.2839E-02
1.1387E+00	7.5222E-02	7.3699E-01	4.2374E-01	4.9775E-01	AUTcollins	proton	pi+	3.7455E-02	1.1425E-02
1.3290E+00	9.5386E-02	6.7540E-01	4.2459E-01	4.9365E-01	AUTcollins	proton	pi+	5.8333E-02	1.1540E-02
1.5797E+00	1.1779E-01	6.5039E-01	4.2501E-01	4.9174E-01	AUTcollins	proton	pi+	7.6846E-02	1.1640E-02
1.8056E+00	1.4663E-01	5.9829E-01	4.2673E-01	4.8760E-01	AUTcollins	proton	pi+	1.0325E-01	1.3383E-02
1.2303E+00	8.1231E-02	7.3923E-01	4.2464E-01	6.8554E-01	AUTcollins	proton	pi+	4.5300E-02	1.0622E-02
1.6397E+00	1.2266E-01	6.5302E-01	4.2591E-01	6.8352E-01	AUTcollins	proton	pi+	8.9163E-02	1.1693E-02
1.4124E+00	9.9259E-02	7.0565E-01	4.2686E-01	8.9104E-01	AUTcollins	proton	pi+	6.0143E-02	1.2528E-02
1.2951E+00	1.0881E-01	5.8073E-01	4.7447E-01	1.3278E-01	AUTcollins	proton	pi+	2.4716E-02	1.1112E-02
1.7366E+00	1.5768E-01	5.3543E-01	4.7630E-01	1.2962E-01	AUTcollins	proton	pi+	3.5961E-02	1.3029E-02
1.1569E+00	8.5867E-02	6.5669E-01	4.7352E-01	3.1123E-01	AUTcollins	proton	pi+	3.6079E-02	1.2249E-02
1.3525E+00	1.0963E-01	5.9794E-01	4.7444E-01	3.0386E-01	AUTcollins	proton	pi+	5.1866E-02	1.3081E-02
1.5929E+00	1.3347E-01	5.7863E-01	4.7489E-01	3.0121E-01	AUTcollins	proton	pi+	6.4193E-02	1.2793E-02
1.8026E+00	1.6433E-01	5.3298E-01	4.7657E-01	2.9691E-01	AUTcollins	proton	pi+	8.0107E-02	1.3451E-02
1.1590E+00	7.9460E-02	7.1076E-01	4.7382E-01	4.9899E-01	AUTcollins	proton	pi+	4.0279E-02	1.1814E-02
1.3684E+00	1.0331E-01	6.4228E-01	4.7440E-01	4.9362E-01	AUTcollins	proton	pi+	6.3692E-02	1.2180E-02
1.6396E+00	1.3211E-01	6.0283E-01	4.7488E-01	4.8989E-01	AUTcollins	proton	pi+	8.7230E-02	1.2288E-02
1.8418E+00	1.6815E-01	5.3199E-01	4.7656E-01	4.8504E-01	AUTcollins	proton	pi+	1.1750E-01	1.8191E-02
1.2344E+00	8.3273E-02	7.2425E-01	4.7441E-01	6.8919E-01	AUTcollins	proton	pi+	4.6382E-02	1.0745E-02
1.6233E+00	1.2863E-01	6.1844E-01	4.7531E-01	6.8625E-01	AUTcollins	proton	pi+	9.5002E-02	1.1955E-02
1.4171E+00	1.0380E-01	6.8210E-01	4.7621E-01	9.0856E-01	AUTcollins	proton	pi+	6.5075E-02	1.1515E-02
1.3119E+00	1.1600E-01	5.5279E-01	5.2414E-01	1.3168E-01	AUTcollins	proton	pi+	2.5186E-02	1.0998E-02
1.7271E+00	1.6952E-01	4.9586E-01	5.2575E-01	1.2879E-01	AUTcollins	proton	pi+	3.6495E-02	1.3160E-02
1.1796E+00	9.1108E-02	6.3186E-01	5.2352E-01	3.1064E-01	AUTcollins	proton	pi+	3.7704E-02	1.2224E-02
1.4045E+00	1.1988E-01	5.6806E-01	5.2422E-01	3.0246E-01	AUTcollins	proton	pi+	5.5067E-02	1.3014E-02
1.6560E+00	1.5110E-01	5.3221E-01	5.2477E-01	2.9810E-01	AUTcollins	proton	pi+	7.0191E-02	1.2693E-02
1.8448E+00	1.8920E-01	4.7335E-01	5.2694E-01	2.9302E-01	AUTcollins	proton	pi+	8.6326E-02	1.6467E-02
1.1774E+00	8.3440E-02	6.8826E-01	5.2388E-01	5.0007E-01	AUTcollins	proton	pi+	4.2712E-02	1.2059E-02
1.4202E+00	1.1218E-01	6.1416E-01	5.2435E-01	4.9376E-01	AUTcollins	proton	pi+	6.8984E-02	1.2542E-02
1.7041E+00	1.5217E-01	5.4732E-01	5.2509E-01	4.8819E-01	AUTcollins	proton	pi+	1.0075E-01	1.3401E-02
