x	xu	dxu	xd	dxd	xub	dxub	xdb	dxdb
1.009253E-04	-3.628976E-04	4.987118E-05	2.708184E-03	5.023336E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.018591E-04	-3.646030E-04	5.001338E-05	2.713868E-03	5.024216E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.028016E-04	-3.663167E-04	5.015591E-05	2.719566E-03	5.025086E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.037528E-04	-3.680389E-04	5.029877E-05	2.725278E-03	5.025945E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.047129E-04	-3.697696E-04	5.044197E-05	2.731003E-03	5.026793E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.056818E-04	-3.715090E-04	5.058552E-05	2.736743E-03	5.027632E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.066596E-04	-3.732570E-04	5.072941E-05	2.742497E-03	5.028462E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.076465E-04	-3.750137E-04	5.087364E-05	2.748266E-03	5.029283E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.086426E-04	-3.767793E-04	5.101824E-05	2.754050E-03	5.030094E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.096478E-04	-3.785538E-04	5.116319E-05	2.759849E-03	5.030898E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.106624E-04	-3.803373E-04	5.130850E-05	2.765664E-03	5.031693E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.116863E-04	-3.821298E-04	5.145419E-05	2.771495E-03	5.032481E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.127197E-04	-3.839314E-04	5.160024E-05	2.777341E-03	5.033262E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.137627E-04	-3.857422E-04	5.174665E-05	2.783203E-03	5.034034E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.148154E-04	-3.875621E-04	5.189343E-05	2.789081E-03	5.034797E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.158777E-04	-3.893912E-04	5.204056E-05	2.794974E-03	5.035551E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.169499E-04	-3.912295E-04	5.218805E-05	2.800882E-03	5.036296E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.180321E-04	-3.930771E-04	5.233589E-05	2.806805E-03	5.037031E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.191242E-04	-3.949338E-04	5.248408E-05	2.812743E-03	5.037756E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.202264E-04	-3.967999E-04	5.263261E-05	2.818696E-03	5.038470E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.213389E-04	-3.986752E-04	5.278148E-05	2.824663E-03	5.039172E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.224616E-04	-4.005598E-04	5.293069E-05	2.830645E-03	5.039864E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.235947E-04	-4.024538E-04	5.308024E-05	2.836641E-03	5.040543E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.247384E-04	-4.043571E-04	5.323011E-05	2.842651E-03	5.041210E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.258925E-04	-4.062698E-04	5.338031E-05	2.848675E-03	5.041864E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.270574E-04	-4.081918E-04	5.353083E-05	2.854712E-03	5.042505E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.282331E-04	-4.101233E-04	5.368167E-05	2.860763E-03	5.043132E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.294196E-04	-4.120642E-04	5.383283E-05	2.866828E-03	5.043745E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.306171E-04	-4.140145E-04	5.398429E-05	2.872905E-03	5.044343E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.318257E-04	-4.159742E-04	5.413606E-05	2.878996E-03	5.044926E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.330454E-04	-4.179435E-04	5.428813E-05	2.885099E-03	5.045494E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.342765E-04	-4.199222E-04	5.444050E-05	2.891214E-03	5.046045E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.355189E-04	-4.219104E-04	5.459316E-05	2.897342E-03	5.046580E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.367729E-04	-4.239081E-04	5.474610E-05	2.903482E-03	5.047099E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.380384E-04	-4.259154E-04	5.489933E-05	2.909634E-03	5.047600E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.393157E-04	-4.279322E-04	5.505284E-05	2.915798E-03	5.048083E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.406048E-04	-4.299586E-04	5.520662E-05	2.921973E-03	5.048548E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.419058E-04	-4.319945E-04	5.536068E-05	2.928159E-03	5.048994E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.432188E-04	-4.340403E-04	5.551503E-05	2.934359E-03	5.049424E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.445440E-04	-4.360963E-04	5.566972E-05	2.940573E-03	5.049842E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.458814E-04	-4.381624E-04	5.582473E-05	2.946802E-03	5.050246E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.472313E-04	-4.402388E-04	5.598006E-05	2.953045E-03	5.050636E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.485936E-04	-4.423254E-04	5.613572E-05	2.959302E-03	5.051013E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.499685E-04	-4.444222E-04	5.629169E-05	2.965574E-03	5.051374E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.513561E-04	-4.465293E-04	5.644797E-05	2.971859E-03	5.051721E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.527566E-04	-4.486468E-04	5.660456E-05	2.978159E-03	5.052053E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.541700E-04	-4.507745E-04	5.676147E-05	2.984472E-03	5.052370E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.555966E-04	-4.529127E-04	5.691867E-05	2.990799E-03	5.052670E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.570363E-04	-4.550612E-04	5.707617E-05	2.997139E-03	5.052954E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.584893E-04	-4.572202E-04	5.723397E-05	3.003493E-03	5.053222E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.599558E-04	-4.593896E-04	5.739206E-05	3.009859E-03	5.053473E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.614359E-04	-4.615695E-04	5.755043E-05	3.016239E-03	5.053706E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.629296E-04	-4.637599E-04	5.770909E-05	3.022632E-03	5.053922E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.644372E-04	-4.659608E-04	5.786803E-05	3.029037E-03	5.054120E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.659587E-04	-4.681722E-04	5.802725E-05	3.035455E-03	5.054300E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.674943E-04	-4.703943E-04	5.818673E-05	3.041885E-03	5.054461E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.690441E-04	-4.726269E-04	5.834649E-05	3.048328E-03	5.054602E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.706082E-04	-4.748701E-04	5.850651E-05	3.054782E-03	5.054725E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.721869E-04	-4.771240E-04	5.866678E-05	3.061249E-03	5.054827E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.737801E-04	-4.793885E-04	5.882731E-05	3.067727E-03	5.054909E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.753881E-04	-4.816637E-04	5.898810E-05	3.074216E-03	5.054971E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.770109E-04	-4.839496E-04	5.914912E-05	3.080717E-03	5.055011E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.786488E-04	-4.862463E-04	5.931039E-05	3.087230E-03	5.055031E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.803018E-04	-4.885536E-04	5.947189E-05	3.093753E-03	5.055028E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.819701E-04	-4.908718E-04	5.963363E-05	3.100287E-03	5.055004E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.836538E-04	-4.932009E-04	5.979562E-05	3.106833E-03	5.054959E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.853532E-04	-4.955412E-04	5.995786E-05	3.113391E-03	5.054894E-04	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
