x	xu	dxu	xd	dxd	xub	dxub	xdb	dxdb
1.009253E-04	-3.628976E-04	7.661057E-04	2.708184E-03	4.661594E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.018591E-04	-3.646030E-04	7.653776E-04	2.713868E-03	4.653652E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.028016E-04	-3.663167E-04	7.646528E-04	2.719566E-03	4.645722E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.037528E-04	-3.680389E-04	7.639312E-04	2.725278E-03	4.637803E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.047129E-04	-3.697696E-04	7.632129E-04	2.731003E-03	4.629895E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.056818E-04	-3.715090E-04	7.624980E-04	2.736743E-03	4.621999E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.066596E-04	-3.732570E-04	7.617865E-04	2.742497E-03	4.614115E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.076465E-04	-3.750137E-04	7.610785E-04	2.748266E-03	4.606244E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.086426E-04	-3.767793E-04	7.603741E-04	2.754050E-03	4.598386E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.096478E-04	-3.785538E-04	7.596732E-04	2.759849E-03	4.590541E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.106624E-04	-3.803373E-04	7.589759E-04	2.765664E-03	4.582709E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.116863E-04	-3.821298E-04	7.582824E-04	2.771495E-03	4.574891E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.127197E-04	-3.839314E-04	7.575926E-04	2.777341E-03	4.567087E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.137627E-04	-3.857422E-04	7.569064E-04	2.783203E-03	4.559296E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.148154E-04	-3.875621E-04	7.562237E-04	2.789081E-03	4.551518E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.158777E-04	-3.893912E-04	7.555446E-04	2.794974E-03	4.543752E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.169499E-04	-3.912295E-04	7.548690E-04	2.800882E-03	4.535998E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.180321E-04	-3.930771E-04	7.541968E-04	2.806805E-03	4.528257E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.191242E-04	-3.949338E-04	7.535280E-04	2.812743E-03	4.520526E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.202264E-04	-3.967999E-04	7.528625E-04	2.818696E-03	4.512807E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.213389E-04	-3.986752E-04	7.522002E-04	2.824663E-03	4.505098E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.224616E-04	-4.005598E-04	7.515411E-04	2.830645E-03	4.497399E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.235947E-04	-4.024538E-04	7.508851E-04	2.836641E-03	4.489711E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
