x	xu	dxu	xd	dxd	xub	dxub	xdb	dxdb
1.009253E-04	-3.628976E-04	2.398164E-04	2.708184E-03	4.870025E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.018591E-04	-3.646030E-04	2.404471E-04	2.713868E-03	4.865175E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.028016E-04	-3.663167E-04	2.410793E-04	2.719566E-03	4.860329E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.037528E-04	-3.680389E-04	2.417130E-04	2.725278E-03	4.855488E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.047129E-04	-3.697696E-04	2.423484E-04	2.731003E-03	4.850652E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.056818E-04	-3.715090E-04	2.429854E-04	2.736743E-03	4.845821E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.066596E-04	-3.732570E-04	2.436241E-04	2.742497E-03	4.840995E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.076465E-04	-3.750137E-04	2.442644E-04	2.748266E-03	4.836175E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.086426E-04	-3.767793E-04	2.449064E-04	2.754050E-03	4.831362E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.096478E-04	-3.785538E-04	2.455501E-04	2.759849E-03	4.826555E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.106624E-04	-3.803373E-04	2.461956E-04	2.765664E-03	4.821755E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.116863E-04	-3.821298E-04	2.468428E-04	2.771495E-03	4.816963E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
1.127197E-04	-3.839314E-04	2.474917E-04	2.777341E-03	4.812178E-03	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00
