# Q2	x	y	z	pT	obs	target	hadron	value	error
1.1283E+00	7.1678E-02	7.6455E-01	3.2696E-01	2.9196E-01	AUTcollins	proton	pi+	1.9649E-02	1.2717E-02
1.4381E+00	9.4172E-02	7.4006E-01	3.3006E-01	2.9036E-01	AUTcollins	proton	pi+	2.2211E-02	1.1777E-02
1.8055E+00	1.2188E-01	7.1862E-01	3.3344E-01	2.9023E-01	AUTcollins	proton	pi+	2.4420E-02	1.5605E-02
1.1406E+00	6.9787E-02	7.9405E-01	3.2600E-01	4.9533E-01	AUTcollins	proton	pi+	3.1725E-02	1.1048E-02
1.4506E+00	9.1321E-02	7.6966E-01	3.2778E-01	4.9521E-01	AUTcollins	proton	pi+	3.5937E-02	1.0647E-02
1.7849E+00	1.1656E-01	7.4328E-01	3.3039E-01	4.9329E-01	AUTcollins	proton	pi+	3.9323E-02	1.1887E-02
1.3358E+00	8.2203E-02	7.9032E-01	3.2843E-01	6.9006E-01	AUTcollins	proton	pi+	4.5847E-02	1.1176E-02
1.8375E+00	1.2089E-01	7.3766E-01	3.3227E-01	6.8339E-01	AUTcollins	proton	pi+	5.2899E-02	2.1275E-02
1.1105E+00	7.5384E-02	7.1618E-01	3.7372E-01	2.8277E-01	AUTcollins	proton	pi+	2.2538E-02	1.1947E-02
1.2704E+00	9.0725E-02	6.7852E-01	3.7600E-01	2.6957E-01	AUTcollins	proton	pi+	2.3426E-02	1.1895E-02
1.4704E+00	1.0654E-01	6.6874E-01	3.7669E-01	2.6744E-01	AUTcollins	proton	pi+	2.4644E-02	1.1809E-02
1.7209E+00	1.2770E-01	6.5329E-01	3.7797E-01	2.6303E-01	AUTcollins	proton	pi+	2.5562E-02	1.1576E-02
1.9078E+00	1.4960E-01	6.1824E-01	3.8399E-01	2.4635E-01	AUTcollins	proton	pi+	2.4982E-02	1.8225E-02
1.1279E+00	7.2050E-02	7.6162E-01	3.7382E-01	4.9603E-01	AUTcollins	proton	pi+	3.7086E-02	1.1018E-02
1.3278E+00	8.9977E-02	7.1507E-01	3.7523E-01	4.9396E-01	AUTcollins	proton	pi+	4.0857E-02	1.0690E-02
1.5972E+00	1.1105E-01	6.9738E-01	3.7584E-01	4.9350E-01	AUTcollins	proton	pi+	4.4022E-02	1.0355E-02
1.8321E+00	1.3639E-01	6.5198E-01	3.7895E-01	4.8920E-01	AUTcollins	proton	pi+	4.6274E-02	1.1753E-02
1.2488E+00	8.0356E-02	7.5731E-01	3.7551E-01	6.8027E-01	AUTcollins	proton	pi+	5.0864E-02	1.0833E-02
1.6866E+00	1.1797E-01	6.9606E-01	3.7734E-01	6.7799E-01	AUTcollins	proton	pi+	5.8590E-02	1.1630E-02
1.3956E+00	9.3092E-02	7.3752E-01	3.7825E-01	8.7264E-01	AUTcollins	proton	pi+	6.4854E-02	1.6360E-02
1.3104E+00	1.0364E-01	6.1604E-01	4.2515E-01	1.3432E-01	AUTcollins	proton	pi+	1.4085E-02	1.1173E-02
1.7791E+00	1.4925E-01	5.7871E-01	4.2769E-01	1.3028E-01	AUTcollins	proton	pi+	1.4877E-02	1.4471E-02
1.1332E+00	8.0316E-02	6.8674E-01	4.2340E-01	3.1257E-01	AUTcollins	proton	pi+	2.8898E-02	1.2441E-02
1.3120E+00	1.0004E-01	6.3559E-01	4.2493E-01	3.0605E-01	AUTcollins	proton	pi+	3.0977E-02	1.2493E-02
1.5547E+00	1.2135E-01	6.2101E-01	4.2536E-01	3.0414E-01	AUTcollins	proton	pi+	3.2613E-02	1.1917E-02
1.8028E+00	1.4939E-01	5.8607E-01	4.2737E-01	2.9977E-01	AUTcollins	proton	pi+	3.3480E-02	1.1924E-02
1.1387E+00	7.5222E-02	7.3699E-01	4.2374E-01	4.9775E-01	AUTcollins	proton	pi+	4.2713E-02	1.1516E-02
1.3290E+00	9.5386E-02	6.7540E-01	4.2459E-01	4.9365E-01	AUTcollins	proton	pi+	4.6908E-02	1.1280E-02
1.5797E+00	1.1779E-01	6.5039E-01	4.2501E-01	4.9174E-01	AUTcollins	proton	pi+	5.0030E-02	1.0896E-02
1.8056E+00	1.4663E-01	5.9829E-01	4.2673E-01	4.8760E-01	AUTcollins	proton	pi+	5.1979E-02	1.1827E-02
1.2303E+00	8.1231E-02	7.3923E-01	4.2464E-01	6.8554E-01	AUTcollins	proton	pi+	5.7111E-02	1.0899E-02
1.6397E+00	1.2266E-01	6.5302E-01	4.2591E-01	6.8352E-01	AUTcollins	proton	pi+	6.5918E-02	1.0906E-02
1.4124E+00	9.9259E-02	7.0565E-01	4.2686E-01	8.9104E-01	AUTcollins	proton	pi+	7.3422E-02	1.2872E-02
1.2951E+00	1.0881E-01	5.8073E-01	4.7447E-01	1.3278E-01	AUTcollins	proton	pi+	1.5744E-02	1.1031E-02
1.7366E+00	1.5768E-01	5.3543E-01	4.7630E-01	1.2962E-01	AUTcollins	proton	pi+	1.6476E-02	1.2834E-02
1.1569E+00	8.5867E-02	6.5669E-01	4.7352E-01	3.1123E-01	AUTcollins	proton	pi+	3.2920E-02	1.2205E-02
1.3525E+00	1.0963E-01	5.9794E-01	4.7444E-01	3.0386E-01	AUTcollins	proton	pi+	3.5172E-02	1.2804E-02
1.5929E+00	1.3347E-01	5.7863E-01	4.7489E-01	3.0121E-01	AUTcollins	proton	pi+	3.6571E-02	1.2245E-02
1.8026E+00	1.6433E-01	5.3298E-01	4.7657E-01	2.9691E-01	AUTcollins	proton	pi+	3.6878E-02	1.2490E-02
1.1590E+00	7.9460E-02	7.1076E-01	4.7382E-01	4.9899E-01	AUTcollins	proton	pi+	4.8455E-02	1.1964E-02
1.3684E+00	1.0331E-01	6.4228E-01	4.7440E-01	4.9362E-01	AUTcollins	proton	pi+	5.3224E-02	1.1930E-02
1.6396E+00	1.3211E-01	6.0283E-01	4.7488E-01	4.8989E-01	AUTcollins	proton	pi+	5.6437E-02	1.1366E-02
1.8418E+00	1.6815E-01	5.3199E-01	4.7656E-01	4.8504E-01	AUTcollins	proton	pi+	5.7300E-02	1.6704E-02
1.2344E+00	8.3273E-02	7.2425E-01	4.7441E-01	6.8919E-01	AUTcollins	proton	pi+	6.3288E-02	1.1162E-02
1.6233E+00	1.2863E-01	6.1844E-01	4.7531E-01	6.8625E-01	AUTcollins	proton	pi+	7.2829E-02	1.1161E-02
1.4171E+00	1.0380E-01	6.8210E-01	4.7621E-01	9.0856E-01	AUTcollins	proton	pi+	8.0858E-02	1.1998E-02
1.3119E+00	1.1600E-01	5.5279E-01	5.2414E-01	1.3168E-01	AUTcollins	proton	pi+	1.7478E-02	1.0924E-02
1.7271E+00	1.6952E-01	4.9586E-01	5.2575E-01	1.2879E-01	AUTcollins	proton	pi+	1.7956E-02	1.2969E-02
1.1796E+00	9.1108E-02	6.3186E-01	5.2352E-01	3.1064E-01	AUTcollins	proton	pi+	3.6921E-02	1.2212E-02
1.4045E+00	1.1988E-01	5.6806E-01	5.2422E-01	3.0246E-01	AUTcollins	proton	pi+	3.9326E-02	1.2729E-02
1.6560E+00	1.5110E-01	5.3221E-01	5.2477E-01	2.9810E-01	AUTcollins	proton	pi+	4.0297E-02	1.2035E-02
1.8448E+00	1.8920E-01	4.7335E-01	5.2694E-01	2.9302E-01	AUTcollins	proton	pi+	3.9413E-02	1.5559E-02
1.1774E+00	8.3440E-02	6.8826E-01	5.2388E-01	5.0007E-01	AUTcollins	proton	pi+	5.4085E-02	1.2282E-02
1.4202E+00	1.1218E-01	6.1416E-01	5.2435E-01	4.9376E-01	AUTcollins	proton	pi+	5.9519E-02	1.2301E-02
1.7041E+00	1.5217E-01	5.4732E-01	5.2509E-01	4.8819E-01	AUTcollins	proton	pi+	6.2416E-02	1.2197E-02
1.9589E+00	2.2016E-01	4.3110E-01	5.3885E-01	4.8356E-01	AUTcollins	proton	pi+	6.0072E-02	1.7380E-01
1.2533E+00	8.7032E-02	7.0459E-01	5.2426E-01	6.9057E-01	AUTcollins	proton	pi+	6.9726E-02	1.1601E-02
1.6284E+00	1.3698E-01	5.8392E-01	5.2506E-01	6.8777E-01	AUTcollins	proton	pi+	7.9537E-02	1.2151E-02
