# Q2	x	y	z	pT	obs	target	hadron	value	error
1.1785E+00	9.2280E-02	6.2028E-01	3.2205E-01	1.6235E-01	AUTcollins	neutron	pi-	-3.3583E-03	2.5916E-03
1.3577E+00	1.1222E-01	5.8640E-01	3.2271E-01	1.5050E-01	AUTcollins	neutron	pi-	-2.9350E-03	2.1805E-03
1.4750E+00	1.2676E-01	5.6390E-01	3.2299E-01	1.4363E-01	AUTcollins	neutron	pi-	-2.5967E-03	2.1086E-03
1.5550E+00	1.3944E-01	5.4043E-01	3.2331E-01	1.3690E-01	AUTcollins	neutron	pi-	-2.2613E-03	2.1475E-03
1.6148E+00	1.5201E-01	5.1481E-01	3.2346E-01	1.3049E-01	AUTcollins	neutron	pi-	-1.9354E-03	2.2103E-03
1.6658E+00	1.6587E-01	4.8672E-01	3.2364E-01	1.2385E-01	AUTcollins	neutron	pi-	-1.6011E-03	2.3060E-03
1.7107E+00	1.8231E-01	4.5486E-01	3.2384E-01	1.1684E-01	AUTcollins	neutron	pi-	-1.2504E-03	2.5046E-03
1.7537E+00	2.0490E-01	4.1517E-01	3.2394E-01	1.1130E-01	AUTcollins	neutron	pi-	-8.7178E-04	2.6337E-03
1.8110E+00	2.4811E-01	3.5542E-01	3.2383E-01	1.1867E-01	AUTcollins	neutron	pi-	-3.9287E-04	2.3950E-03
1.9717E+00	3.0578E-01	3.1238E-01	3.2321E-01	1.3782E-01	AUTcollins	neutron	pi-	5.5285E-05	5.9291E-02
1.0682E+00	6.5330E-02	7.9351E-01	3.2134E-01	3.3891E-01	AUTcollins	neutron	pi-	-7.3762E-03	2.3554E-03
1.1148E+00	7.3197E-02	7.3807E-01	3.2221E-01	3.2391E-01	AUTcollins	neutron	pi-	-7.0250E-03	2.1235E-03
1.1477E+00	7.8412E-02	7.0921E-01	3.2260E-01	3.1860E-01	AUTcollins	neutron	pi-	-6.8662E-03	2.1537E-03
1.1736E+00	8.2636E-02	6.8809E-01	3.2282E-01	3.1499E-01	AUTcollins	neutron	pi-	-6.7354E-03	2.1318E-03
1.2084E+00	8.6552E-02	6.7637E-01	3.2295E-01	3.1264E-01	AUTcollins	neutron	pi-	-6.6528E-03	2.1262E-03
1.2486E+00	9.0449E-02	6.6876E-01	3.2304E-01	3.1073E-01	AUTcollins	neutron	pi-	-6.5809E-03	2.1247E-03
1.2871E+00	9.4345E-02	6.6091E-01	3.2311E-01	3.0890E-01	AUTcollins	neutron	pi-	-6.4944E-03	2.1316E-03
1.3258E+00	9.8248E-02	6.5376E-01	3.2319E-01	3.0711E-01	AUTcollins	neutron	pi-	-6.3969E-03	2.1514E-03
1.3657E+00	1.0229E-01	6.4680E-01	3.2330E-01	3.0534E-01	AUTcollins	neutron	pi-	-6.2855E-03	2.1307E-03
1.4067E+00	1.0649E-01	6.3998E-01	3.2335E-01	3.0377E-01	AUTcollins	neutron	pi-	-6.1631E-03	2.1737E-03
1.4464E+00	1.1074E-01	6.3277E-01	3.2346E-01	3.0211E-01	AUTcollins	neutron	pi-	-6.0230E-03	2.2050E-03
1.4870E+00	1.1509E-01	6.2595E-01	3.2348E-01	3.0094E-01	AUTcollins	neutron	pi-	-5.8795E-03	2.2541E-03
1.5306E+00	1.1968E-01	6.1958E-01	3.2357E-01	2.9952E-01	AUTcollins	neutron	pi-	-5.7143E-03	2.2551E-03
1.5738E+00	1.2453E-01	6.1227E-01	3.2365E-01	2.9841E-01	AUTcollins	neutron	pi-	-5.5349E-03	2.3358E-03
1.6087E+00	1.2970E-01	6.0094E-01	3.2372E-01	2.9690E-01	AUTcollins	neutron	pi-	-5.3199E-03	2.3739E-03
1.6334E+00	1.3542E-01	5.8437E-01	3.2388E-01	2.9480E-01	AUTcollins	neutron	pi-	-5.0569E-03	2.5522E-03
