# Q2	x	y	z	pT	obs	target	hadron	value	error
1.9400E+00	2.6000E-02	3.5000E-01	1.4000E-01	4.0000E-01	AUTcollins	proton	h-	1.9229E-03	3.0000E-03
1.9400E+00	2.8000E-02	3.3000E-01	2.4000E-01	4.6000E-01	AUTcollins	proton	h-	1.6493E-03	4.0000E-03
1.9300E+00	2.8000E-02	3.3000E-01	3.4000E-01	5.1000E-01	AUTcollins	proton	h-	-8.7905E-05	5.0000E-03
1.9100E+00	2.8000E-02	3.2000E-01	4.8000E-01	5.4000E-01	AUTcollins	proton	h-	-3.5188E-03	6.0000E-03
1.8400E+00	2.8000E-02	3.2000E-01	7.4000E-01	5.1000E-01	AUTcollins	proton	h-	-1.6916E-02	8.0000E-03
4.9600E+00	6.5000E-02	3.5000E-01	1.4000E-01	4.0000E-01	AUTcollins	proton	h-	5.3317E-03	6.0000E-03
4.9600E+00	7.0000E-02	3.3000E-01	2.4000E-01	4.7000E-01	AUTcollins	proton	h-	8.0105E-03	9.0000E-03
4.9600E+00	7.2000E-02	3.2000E-01	3.4000E-01	5.2000E-01	AUTcollins	proton	h-	8.6359E-03	1.4000E-02
4.9600E+00	7.3000E-02	3.2000E-01	4.8000E-01	5.8000E-01	AUTcollins	proton	h-	6.1022E-03	1.5000E-02
4.9300E+00	7.3000E-02	3.1000E-01	7.3000E-01	5.9000E-01	AUTcollins	proton	h-	-1.8855E-02	2.4000E-02
9.3600E+00	1.1500E-01	3.6000E-01	1.4000E-01	4.0000E-01	AUTcollins	proton	h-	8.5467E-03	6.0000E-03
9.3400E+00	1.2300E-01	3.4000E-01	2.4000E-01	4.7000E-01	AUTcollins	proton	h-	1.4068E-02	9.0000E-03
9.3200E+00	1.2600E-01	3.3000E-01	3.4000E-01	5.3000E-01	AUTcollins	proton	h-	1.7527E-02	1.3000E-02
9.3000E+00	1.2800E-01	3.3000E-01	4.8000E-01	5.9000E-01	AUTcollins	proton	h-	1.7198E-02	1.5000E-02
9.2200E+00	1.3000E-01	3.3000E-01	7.2000E-01	6.5000E-01	AUTcollins	proton	h-	-1.1760E-02	2.6000E-02
2.6250E+01	2.2600E-01	4.6000E-01	1.4000E-01	4.2000E-01	AUTcollins	proton	h-	1.1124E-02	1.2000E-02
2.6040E+01	2.3700E-01	4.4000E-01	2.4000E-01	5.0000E-01	AUTcollins	proton	h-	1.9081E-02	1.8000E-02
2.5960E+01	2.4500E-01	4.3000E-01	3.4000E-01	5.8000E-01	AUTcollins	proton	h-	2.5738E-02	2.6000E-02
2.5810E+01	2.5200E-01	4.3000E-01	4.8000E-01	6.9000E-01	AUTcollins	proton	h-	2.9806E-02	3.0000E-02
2.5680E+01	2.7100E-01	4.0000E-01	7.2000E-01	8.6000E-01	AUTcollins	proton	h-	4.5700E-03	5.3000E-02
