i;obs;value;stat;syst1;Q2;x;z;pT;target;hadron
0;M_Hermes;3.958759;0.05016465;0.4982168;1.250269;0.03752505;0.1509102;0.1104111;deuteron;pi+
1;M_Hermes;8.119493;0.06337268;0.5313309;1.250269;0.03752505;0.1548277;0.2226635;deuteron;pi+
2;M_Hermes;9.023596;0.0621737;0.411911;1.250269;0.03752505;0.1564604;0.3287458;deuteron;pi+
3;M_Hermes;7.179964;0.0610451;0.2614694;1.250269;0.03752505;0.1589897;0.4397235;deuteron;pi+
4;M_Hermes;4.522384;0.05202488;0.3266121;1.250269;0.03752505;0.1615771;0.5778117;deuteron;pi+
5;M_Hermes;1.762375;0.05265482;0.306772;1.250269;0.03752505;0.1665684;0.7812505;deuteron;pi+
6;M_Hermes;0.2307967;0.05030301;0.03934285;1.250392;0.03752366;0.1690838;1.034574;deuteron;pi+
7;M_Hermes;1.774099;0.0485584;0.08794667;1.250269;0.03752505;0.2287176;0.1037035;deuteron;pi+
8;M_Hermes;4.007687;0.06812956;0.2427637;1.250269;0.03752505;0.233352;0.2124866;deuteron;pi+
9;M_Hermes;4.556011;0.06424602;0.3481957;1.250269;0.03752505;0.2352547;0.315913;deuteron;pi+
10;M_Hermes;4.38649;0.05769644;0.3409993;1.250269;0.03752505;0.2372395;0.4223607;deuteron;pi+
11;M_Hermes;2.928773;0.03836837;0.129521;1.250269;0.03752505;0.2414499;0.5588681;deuteron;pi+
12;M_Hermes;1.253468;0.02606083;0.1289586;1.250269;0.03752505;0.2473463;0.7520168;deuteron;pi+
13;M_Hermes;0.2404978;0.0145912;0.02507477;1.250269;0.03752505;0.2491446;1.028318;deuteron;pi+
14;M_Hermes;1.185153;0.04269664;0.04530847;1.250269;0.03752505;0.2799762;0.1036415;deuteron;pi+
15;M_Hermes;2.493073;0.05686623;0.2363583;1.250269;0.03752505;0.2846211;0.211885;deuteron;pi+
16;M_Hermes;3.07511;0.05770577;0.3538712;1.250269;0.03752505;0.2856892;0.3148078;deuteron;pi+
17;M_Hermes;2.942678;0.05119835;0.3388365;1.250269;0.03752505;0.2854939;0.4162685;deuteron;pi+
18;M_Hermes;2.199857;0.0328864;0.1831297;1.250269;0.03752505;0.2887204;0.5462692;deuteron;pi+
19;M_Hermes;1.034647;0.02064319;0.05870686;1.250269;0.03752505;0.2973627;0.7424863;deuteron;pi+
20;M_Hermes;0.2180056;0.008637716;0.01226922;1.250269;0.03752505;0.3021026;1.024651;deuteron;pi+
21;M_Hermes;0.668954;0.02605571;0.04825502;1.250269;0.03752505;0.3359652;0.1008722;deuteron;pi+
22;M_Hermes;1.556176;0.03597395;0.1923145;1.250269;0.03752505;0.3414715;0.207733;deuteron;pi+
23;M_Hermes;1.775615;0.03600237;0.265411;1.250269;0.03752505;0.3439369;0.3103966;deuteron;pi+
24;M_Hermes;1.943873;0.03540718;0.2939313;1.250269;0.03752505;0.34708;0.4140658;deuteron;pi+
25;M_Hermes;1.60953;0.02282856;0.1956647;1.250269;0.03752505;0.3484627;0.5404285;deuteron;pi+
26;M_Hermes;0.8135826;0.01368696;0.03014415;1.250269;0.03752505;0.3536769;0.7214899;deuteron;pi+
27;M_Hermes;0.1992966;0.005213436;0.008056448;1.250269;0.03752505;0.3605508;0.995866;deuteron;pi+
28;M_Hermes;0.3749757;0.01770867;0.043296;1.250269;0.03752505;0.4252024;0.104036;deuteron;pi+
29;M_Hermes;0.778755;0.02388196;0.126397;1.250269;0.03752505;0.4251895;0.2056777;deuteron;pi+
30;M_Hermes;0.9939872;0.0230999;0.1864871;1.250269;0.03752505;0.4289906;0.3087638;deuteron;pi+
31;M_Hermes;1.120654;0.02355963;0.2123095;1.250269;0.03752505;0.4298802;0.4100146;deuteron;pi+
32;M_Hermes;0.9285351;0.01624438;0.1505201;1.250269;0.03752505;0.4312419;0.5334893;deuteron;pi+
33;M_Hermes;0.5526811;0.009685521;0.03760154;1.250269;0.03752505;0.4332004;0.7085244;deuteron;pi+
34;M_Hermes;0.171315;0.003809941;0.01174624;1.250269;0.03752505;0.4400492;0.9665702;deuteron;pi+
35;M_Hermes;0.1361677;0.009121035;0.01919456;1.250269;0.03752505;0.5341099;0.1028912;deuteron;pi+
36;M_Hermes;0.3699081;0.01472224;0.06982934;1.250269;0.03752505;0.5348628;0.2064932;deuteron;pi+
37;M_Hermes;0.493521;0.01455901;0.09325092;1.250269;0.03752505;0.5369749;0.3048847;deuteron;pi+
38;M_Hermes;0.5651555;0.0144918;0.1084987;1.250269;0.03752505;0.5391858;0.4060098;deuteron;pi+
39;M_Hermes;0.5057751;0.01069428;0.09526136;1.250269;0.03752505;0.5414914;0.5311465;deuteron;pi+
40;M_Hermes;0.3378932;0.007121245;0.03289643;1.250269;0.03752505;0.5415266;0.7024082;deuteron;pi+
41;M_Hermes;0.1162167;0.002659306;0.01092913;1.250269;0.03752505;0.5447605;0.9563616;deuteron;pi+
42;M_Hermes;0.05456164;0.003886206;0.007112834;1.250269;0.03752505;0.69273;0.1009989;deuteron;pi+
43;M_Hermes;0.153269;0.00650943;0.02734651;1.250269;0.03752505;0.6961966;0.2052945;deuteron;pi+
44;M_Hermes;0.2138847;0.0067743;0.0435698;1.250269;0.03752505;0.6909164;0.3035252;deuteron;pi+
45;M_Hermes;0.2267411;0.006851237;0.04691579;1.250269;0.03752505;0.6877514;0.4015778;deuteron;pi+
46;M_Hermes;0.1918787;0.004927928;0.03471485;1.250269;0.03752505;0.6882443;0.5260225;deuteron;pi+
47;M_Hermes;0.1524426;0.003913501;0.01528789;1.250269;0.03752505;0.6838881;0.6936255;deuteron;pi+
48;M_Hermes;0.06193996;0.001636963;0.006175585;1.250269;0.03752505;0.6884675;0.9510005;deuteron;pi+
49;M_Hermes;0.01530788;0.00108866;0.00200161;1.250269;0.03752505;0.874357;0.09260683;deuteron;pi+
50;M_Hermes;0.03551669;0.002058421;0.006332205;1.250269;0.03752505;0.8810219;0.1989952;deuteron;pi+
