i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
0,M_Hermes,0.4424125,0.02207802,0.151783,1.250269,0.03752505,0.150202,0.1019364,deuteron,k+
1,M_Hermes,0.9090955,0.02778067,0.4091807,1.250269,0.03752505,0.1521749,0.2157791,deuteron,k+
2,M_Hermes,0.9321638,0.02727522,0.2113537,1.250269,0.03752505,0.1522933,0.3227291,deuteron,k+
3,M_Hermes,0.8217226,0.02828755,0.1336878,1.250269,0.03752505,0.1556551,0.4371615,deuteron,k+
4,M_Hermes,0.5963618,0.02401037,0.04693696,1.250269,0.03752505,0.1599346,0.5743694,deuteron,k+
5,M_Hermes,0.2628625,0.02454172,0.02026578,1.250269,0.03752505,0.17092,0.807636,deuteron,k+
6,M_Hermes,0.03332094,0.02113448,0.002593743,1.250269,0.03752505,0.1983256,1.187806,deuteron,k+
7,M_Hermes,0.3128942,0.02470473,0.02444452,1.250269,0.03752505,0.2266198,0.09980982,deuteron,k+
8,M_Hermes,0.5686756,0.03050515,0.0333172,1.250269,0.03752505,0.2301585,0.2060025,deuteron,k+
9,M_Hermes,0.600426,0.02915858,0.03572515,1.250269,0.03752505,0.2341512,0.3121649,deuteron,k+
10,M_Hermes,0.503126,0.02311712,0.03069189,1.250269,0.03752505,0.2338468,0.4143029,deuteron,k+
11,M_Hermes,0.363298,0.01620914,0.0214174,1.250269,0.03752505,0.2359174,0.5476233,deuteron,k+
12,M_Hermes,0.1902227,0.01112222,0.03608477,1.250269,0.03752505,0.2386537,0.7285609,deuteron,k+
13,M_Hermes,0.06420009,0.007690084,0.01217154,1.250269,0.03752505,0.2403588,1.01376,deuteron,k+
14,M_Hermes,0.2576008,0.02211805,0.1168746,1.250269,0.03752505,0.2744497,0.1037242,deuteron,k+
15,M_Hermes,0.4572999,0.02789726,0.08410191,1.250269,0.03752505,0.2771796,0.2068321,deuteron,k+
16,M_Hermes,0.4725947,0.02661969,0.08674056,1.250269,0.03752505,0.2840068,0.311913,deuteron,k+
17,M_Hermes,0.3679304,0.02148045,0.06767463,1.250269,0.03752505,0.2868223,0.4151126,deuteron,k+
18,M_Hermes,0.3279927,0.01501942,0.09871761,1.250269,0.03752505,0.2899104,0.551154,deuteron,k+
19,M_Hermes,0.1964214,0.01011869,0.008633775,1.250269,0.03752505,0.2890327,0.7210283,deuteron,k+
20,M_Hermes,0.04321861,0.004425369,0.002023619,1.250269,0.03752505,0.2993468,1.013668,deuteron,k+
21,M_Hermes,0.1810459,0.01421969,0.06599015,1.250269,0.03752505,0.3353918,0.1019666,deuteron,k+
22,M_Hermes,0.3132223,0.01840041,0.08943405,1.250269,0.03752505,0.3405483,0.2074192,deuteron,k+
23,M_Hermes,0.3753735,0.01851713,0.1074134,1.250269,0.03752505,0.3424263,0.3076759,deuteron,k+
24,M_Hermes,0.4306538,0.01926434,0.169316,1.250269,0.03752505,0.3429929,0.4086269,deuteron,k+
25,M_Hermes,0.296292,0.01178184,0.1165246,1.250269,0.03752505,0.3487519,0.5410553,deuteron,k+
26,M_Hermes,0.1584083,0.00733662,0.04171358,1.250269,0.03752505,0.3453851,0.710553,deuteron,k+
27,M_Hermes,0.04799079,0.003034139,0.0126072,1.250269,0.03752505,0.3552542,1.00729,deuteron,k+
28,M_Hermes,0.06971718,0.00857248,0.02582531,1.250269,0.03752505,0.4284131,0.09884389,deuteron,k+
29,M_Hermes,0.1909868,0.01346501,0.05393826,1.250269,0.03752505,0.4191305,0.2036434,deuteron,k+
30,M_Hermes,0.1944797,0.01323262,0.05492212,1.250269,0.03752505,0.423556,0.3026066,deuteron,k+
31,M_Hermes,0.2170102,0.01355136,0.01704768,1.250269,0.03752505,0.4314508,0.4101637,deuteron,k+
32,M_Hermes,0.1995443,0.009461209,0.097584,1.250269,0.03752505,0.4282573,0.5270042,deuteron,k+
33,M_Hermes,0.1370796,0.006047782,0.03306199,1.250269,0.03752505,0.4329215,0.7024573,deuteron,k+
34,M_Hermes,0.04555366,0.002325388,0.01098682,1.250269,0.03752505,0.4314723,0.956035,deuteron,k+
35,M_Hermes,0.04055038,0.005641505,0.02020977,1.250269,0.03752505,0.524701,0.1035386,deuteron,k+
36,M_Hermes,0.08303109,0.008654115,0.008011384,1.250269,0.03752505,0.5302707,0.2020833,deuteron,k+
37,M_Hermes,0.118038,0.00907198,0.01130954,1.250269,0.03752505,0.5304062,0.3033743,deuteron,k+
38,M_Hermes,0.1337614,0.009388306,0.01273079,1.250269,0.03752505,0.5375947,0.4038126,deuteron,k+
39,M_Hermes,0.1377819,0.007382993,0.005857857,1.250269,0.03752505,0.5436773,0.5373716,deuteron,k+
40,M_Hermes,0.1229882,0.005407137,0.005245011,1.250269,0.03752505,0.5452599,0.7103738,deuteron,k+
41,M_Hermes,0.03470781,0.001710609,0.001454153,1.250269,0.03752505,0.5413988,0.9620423,deuteron,k+
42,M_Hermes,0.01655648,0.003240553,0.001563494,1.250269,0.03752505,0.6870043,0.09937384,deuteron,k+
43,M_Hermes,0.03320929,0.005081962,0.005783475,1.250269,0.03752505,0.6779828,0.2049178,deuteron,k+
44,M_Hermes,0.05152713,0.005075539,0.00733164,1.250269,0.03752505,0.6907183,0.3031859,deuteron,k+
45,M_Hermes,0.06675237,0.005134104,0.01085736,1.250269,0.03752505,0.6875323,0.4008691,deuteron,k+
46,M_Hermes,0.06880983,0.004025241,0.01117198,1.250269,0.03752505,0.6834627,0.5245277,deuteron,k+
47,M_Hermes,0.05662756,0.003067173,0.004845258,1.250269,0.03752505,0.6843887,0.6934108,deuteron,k+
48,M_Hermes,0.01984803,0.001239553,0.001697671,1.250269,0.03752505,0.6877501,0.9473112,deuteron,k+
49,M_Hermes,0.003350734,0.000967958,0.000327807,1.250392,0.03752366,0.8621949,0.09052268,deuteron,k+
50,M_Hermes,0.007775319,0.001739432,0.001367958,1.250269,0.03752505,0.8710017,0.2064343,deuteron,k+
51,M_Hermes,0.01475764,0.003180959,0.002114498,1.250269,0.03752505,0.8588867,0.3046386,deuteron,k+
52,M_Hermes,0.01005762,0.001958469,0.001635741,1.250269,0.03752505,0.8650545,0.3948715,deuteron,k+
53,M_Hermes,0.01983574,0.002476201,0.003221164,1.250269,0.03752505,0.857317,0.5310786,deuteron,k+
54,M_Hermes,0.008010685,0.001010889,0.000691409,1.250269,0.03752505,0.8680753,0.6550281,deuteron,k+
55,M_Hermes,0.008843173,0.000980958,0.000762634,1.250269,0.03752505,0.8566343,0.9068226,deuteron,k+
56,M_Hermes,0.4231075,0.01917424,0.04059978,1.517162,0.06102772,0.1471318,0.1016115,deuteron,k+
57,M_Hermes,0.7901212,0.02785505,0.1222964,1.517162,0.06102772,0.1497116,0.2091402,deuteron,k+
58,M_Hermes,0.9893097,0.03058161,0.3168738,1.517162,0.06102772,0.1495268,0.3146287,deuteron,k+
59,M_Hermes,0.8418408,0.03055923,0.2312225,1.517162,0.06102772,0.1488407,0.4147802,deuteron,k+
60,M_Hermes,0.5322296,0.0263331,0.127032,1.517162,0.06102772,0.1503946,0.5440517,deuteron,k+
61,M_Hermes,0.2600713,0.02737283,0.08117516,1.517162,0.06102772,0.1600321,0.7418737,deuteron,k+
62,M_Hermes,0.03128062,0.01532503,0.009765148,1.517162,0.06102772,0.1512813,0.8776806,deuteron,k+
63,M_Hermes,0.2768924,0.01443737,0.1355828,1.517162,0.06102772,0.224911,0.1036215,deuteron,k+
64,M_Hermes,0.5675318,0.02516332,0.08109515,1.517162,0.06102772,0.2270507,0.204768,deuteron,k+
65,M_Hermes,0.6181061,0.02668631,0.05289534,1.517162,0.06102772,0.2254875,0.3011978,deuteron,k+
66,M_Hermes,0.515681,0.02285424,0.0426648,1.517162,0.06102772,0.2282697,0.403931,deuteron,k+
67,M_Hermes,0.3179051,0.0150751,0.1420938,1.517162,0.06102772,0.2291847,0.5312717,deuteron,k+
68,M_Hermes,0.1430274,0.01099398,0.05273662,1.517162,0.06102772,0.2344734,0.7154376,deuteron,k+
69,M_Hermes,0.04041342,0.007445347,0.01490341,1.517162,0.06102772,0.2668098,1.10883,deuteron,k+
70,M_Hermes,0.2313782,0.01203601,0.08440589,1.517162,0.06102772,0.2731193,0.102454,deuteron,k+
71,M_Hermes,0.4324592,0.02141394,0.1157206,1.517162,0.06102772,0.2760305,0.2042515,deuteron,k+
72,M_Hermes,0.5452106,0.02352633,0.1491778,1.517162,0.06102772,0.2764272,0.3009767,deuteron,k+
73,M_Hermes,0.4023669,0.0212914,0.1101033,1.517162,0.06102772,0.2770045,0.4048929,deuteron,k+
74,M_Hermes,0.3255563,0.01411413,0.089083,1.517162,0.06102772,0.281046,0.5278908,deuteron,k+
75,M_Hermes,0.1333843,0.008614108,0.01116463,1.517162,0.06102772,0.2849803,0.7093678,deuteron,k+
76,M_Hermes,0.03265152,0.003863303,0.002755661,1.517162,0.06102772,0.3040899,1.01962,deuteron,k+
77,M_Hermes,0.1466125,0.007053723,0.04037769,1.517162,0.06102772,0.3355483,0.1003415,deuteron,k+
78,M_Hermes,0.336277,0.01379621,0.1191868,1.517162,0.06102772,0.3359596,0.2021059,deuteron,k+
79,M_Hermes,0.39234,0.01508794,0.1226503,1.517162,0.06102772,0.3352547,0.3001544,deuteron,k+
80,M_Hermes,0.3590504,0.01539547,0.1123993,1.517162,0.06102772,0.3376667,0.4036828,deuteron,k+
81,M_Hermes,0.245377,0.01014947,0.07677442,1.517162,0.06102772,0.3396868,0.5248769,deuteron,k+
82,M_Hermes,0.1217657,0.005602666,0.01753763,1.517162,0.06102772,0.3424922,0.6993496,deuteron,k+
83,M_Hermes,0.02731937,0.002029936,0.003947988,1.517162,0.06102772,0.3395177,0.9397841,deuteron,k+
84,M_Hermes,0.08886816,0.004464859,0.0220594,1.517162,0.06102772,0.4212048,0.1012197,deuteron,k+
85,M_Hermes,0.1762464,0.008059076,0.06792537,1.517162,0.06102772,0.4221954,0.2043894,deuteron,k+
86,M_Hermes,0.2321743,0.0096379,0.009886192,1.517162,0.06102772,0.4216669,0.2998802,deuteron,k+
87,M_Hermes,0.2533711,0.01113903,0.01129908,1.517162,0.06102772,0.4247577,0.4026145,deuteron,k+
88,M_Hermes,0.2013767,0.008131186,0.009226855,1.517162,0.06102772,0.4241198,0.5232495,deuteron,k+
89,M_Hermes,0.1177722,0.004881613,0.02344556,1.517162,0.06102772,0.4243915,0.6891943,deuteron,k+
90,M_Hermes,0.02595571,0.001637749,0.005176282,1.517162,0.06102772,0.42901,0.9493071,deuteron,k+
91,M_Hermes,0.04189753,0.002632151,0.01865511,1.517162,0.06102772,0.5276107,0.09776053,deuteron,k+
92,M_Hermes,0.1018879,0.005343352,0.02154588,1.517162,0.06102772,0.5271779,0.2036637,deuteron,k+
93,M_Hermes,0.1409449,0.006759087,0.0298516,1.517162,0.06102772,0.5283599,0.3010061,deuteron,k+
94,M_Hermes,0.1553946,0.007563442,0.01284102,1.517162,0.06102772,0.5368993,0.4028283,deuteron,k+
95,M_Hermes,0.1426472,0.005807933,0.06760217,1.517162,0.06102772,0.5359913,0.5283077,deuteron,k+
96,M_Hermes,0.09595895,0.004286808,0.02261005,1.517162,0.06102772,0.5381214,0.6890909,deuteron,k+
97,M_Hermes,0.03014257,0.001497101,0.007113176,1.517162,0.06102772,0.5380714,0.9379392,deuteron,k+
98,M_Hermes,0.01347669,0.001504349,0.004548619,1.517162,0.06102772,0.6826228,0.09721336,deuteron,k+
99,M_Hermes,0.03841177,0.002619239,0.01175192,1.517162,0.06102772,0.6855044,0.2032689,deuteron,k+
100,M_Hermes,0.05922955,0.003625602,0.00370235,1.517162,0.06102772,0.6837178,0.3038634,deuteron,k+
101,M_Hermes,0.06648879,0.004217972,0.01545215,1.517162,0.06102772,0.6927634,0.401175,deuteron,k+
102,M_Hermes,0.07050057,0.003215647,0.02750401,1.517162,0.06102772,0.6877,0.5237216,deuteron,k+
103,M_Hermes,0.05775284,0.002689729,0.007422731,1.517162,0.06102772,0.6942352,0.6925406,deuteron,k+
104,M_Hermes,0.02313547,0.001060167,0.003003091,1.517162,0.06102772,0.6963791,0.94411,deuteron,k+
105,M_Hermes,0.005182125,0.000629866,0.001749637,1.517162,0.06102772,0.8760669,0.1044301,deuteron,k+
106,M_Hermes,0.01090306,0.001244377,0.00334007,1.517162,0.06102772,0.8805172,0.1942834,deuteron,k+
107,M_Hermes,0.01334463,0.001447195,0.000806461,1.517162,0.06102772,0.8790665,0.3018444,deuteron,k+
108,M_Hermes,0.01996462,0.001716643,0.004647565,1.517162,0.06102772,0.8625432,0.4005679,deuteron,k+
109,M_Hermes,0.0177207,0.001300003,0.006916435,1.517162,0.06102772,0.8684148,0.527143,deuteron,k+
110,M_Hermes,0.01614666,0.001054438,0.002080311,1.517162,0.06102772,0.8639578,0.6939507,deuteron,k+
111,M_Hermes,0.007414278,0.000578454,0.00095542,1.517162,0.06102772,0.8707332,0.9311395,deuteron,k+
112,M_Hermes,0.3431676,0.01644054,0.04711724,1.834674,0.09568023,0.1453357,0.1002458,deuteron,k+
113,M_Hermes,0.6974533,0.02998849,0.07328808,1.834674,0.09568023,0.1473137,0.206269,deuteron,k+
114,M_Hermes,0.886643,0.03433054,0.3131322,1.834674,0.09568023,0.1451255,0.3074997,deuteron,k+
115,M_Hermes,0.7339968,0.0339973,0.2593652,1.834674,0.09568023,0.1445408,0.4070341,deuteron,k+
116,M_Hermes,0.490092,0.02897585,0.08306034,1.834674,0.09568023,0.1497543,0.5330402,deuteron,k+
117,M_Hermes,0.1428619,0.02337253,0.06927316,1.834674,0.09568023,0.1637913,0.732193,deuteron,k+
118,M_Hermes,0.0320787,0.0226312,0.01505661,1.836021,0.09569265,0.1579186,0.886104,deuteron,k+
119,M_Hermes,0.2413531,0.01306036,0.107333,1.834674,0.09568023,0.2245852,0.09839183,deuteron,k+
120,M_Hermes,0.4689408,0.02366794,0.09820147,1.834674,0.09568023,0.2239912,0.2038179,deuteron,k+
121,M_Hermes,0.5033639,0.02569518,0.1050938,1.834674,0.09568023,0.2258091,0.3024814,deuteron,k+
122,M_Hermes,0.4278834,0.02334562,0.08935947,1.834674,0.09568023,0.2251896,0.4012297,deuteron,k+
123,M_Hermes,0.3178926,0.01729327,0.06630233,1.834674,0.09568023,0.2269232,0.5265133,deuteron,k+
124,M_Hermes,0.1260717,0.01138672,0.006403961,1.834674,0.09568023,0.2298475,0.7010005,deuteron,k+
125,M_Hermes,0.02470667,0.005479427,0.00125827,1.834674,0.09568023,0.2416251,0.9677281,deuteron,k+
126,M_Hermes,0.2275483,0.0107852,0.06886073,1.834674,0.09568023,0.2759014,0.0987082,deuteron,k+
127,M_Hermes,0.4048997,0.01932582,0.1244927,1.834674,0.09568023,0.2754518,0.2041181,deuteron,k+
128,M_Hermes,0.4255728,0.02242783,0.1308567,1.834674,0.09568023,0.2752166,0.3032416,deuteron,k+
129,M_Hermes,0.4016185,0.02234524,0.1234033,1.834674,0.09568023,0.2762038,0.402674,deuteron,k+
130,M_Hermes,0.2435156,0.01276144,0.0748285,1.834674,0.09568023,0.2771728,0.5220291,deuteron,k+
131,M_Hermes,0.1011121,0.007653945,0.03045324,1.834674,0.09568023,0.2790042,0.7010996,deuteron,k+
132,M_Hermes,0.02247992,0.003490733,0.006776021,1.834674,0.09568023,0.2823128,0.9557735,deuteron,k+
133,M_Hermes,0.1345057,0.005894345,0.02609483,1.834674,0.09568023,0.3344825,0.1004411,deuteron,k+
134,M_Hermes,0.2913704,0.01188287,0.1165265,1.834674,0.09568023,0.3352457,0.2041276,deuteron,k+
135,M_Hermes,0.3307611,0.01370673,0.1322472,1.834674,0.09568023,0.3359805,0.3011259,deuteron,k+
136,M_Hermes,0.3112485,0.01468768,0.1244498,1.834674,0.09568023,0.3351061,0.3979405,deuteron,k+
137,M_Hermes,0.2233681,0.009658563,0.08948098,1.834674,0.09568023,0.3378521,0.5197608,deuteron,k+
138,M_Hermes,0.1068701,0.005479832,0.04283636,1.834674,0.09568023,0.3389156,0.6901946,deuteron,k+
139,M_Hermes,0.01986613,0.00199111,0.007954568,1.834674,0.09568023,0.341097,0.9393211,deuteron,k+
140,M_Hermes,0.07768257,0.003628213,0.01286568,1.834674,0.09568023,0.4202692,0.1014475,deuteron,k+
141,M_Hermes,0.1799844,0.006973195,0.07769406,1.834674,0.09568023,0.4227288,0.2015781,deuteron,k+
142,M_Hermes,0.2255024,0.009459166,0.09737201,1.834674,0.09568023,0.4222373,0.3003577,deuteron,k+
143,M_Hermes,0.2423115,0.01097547,0.1046286,1.834674,0.09568023,0.4222144,0.3986372,deuteron,k+
144,M_Hermes,0.2074905,0.008424732,0.08946491,1.834674,0.09568023,0.424597,0.5224242,deuteron,k+
145,M_Hermes,0.09725127,0.004652195,0.04194857,1.834674,0.09568023,0.4232847,0.6872245,deuteron,k+
146,M_Hermes,0.01914976,0.001388949,0.008263091,1.834674,0.09568023,0.433495,0.9351932,deuteron,k+
147,M_Hermes,0.05083571,0.00285885,0.0174584,1.834674,0.09568023,0.5299974,0.1014972,deuteron,k+
148,M_Hermes,0.1094027,0.005085169,0.03022541,1.834674,0.09568023,0.5332181,0.2034285,deuteron,k+
149,M_Hermes,0.1574309,0.007040918,0.01716522,1.834674,0.09568023,0.5333937,0.301365,deuteron,k+
150,M_Hermes,0.1598788,0.008108498,0.01744433,1.834674,0.09568023,0.5324705,0.399976,deuteron,k+
151,M_Hermes,0.1659398,0.006517494,0.01810394,1.834674,0.09568023,0.5350358,0.5198108,deuteron,k+
152,M_Hermes,0.09043149,0.004538063,0.00808467,1.834674,0.09568023,0.5395566,0.6931861,deuteron,k+
153,M_Hermes,0.02148939,0.001417322,0.001898279,1.834674,0.09568023,0.5348394,0.9283121,deuteron,k+
154,M_Hermes,0.01738662,0.001655731,0.001535928,1.834674,0.09568023,0.6840836,0.1037771,deuteron,k+
155,M_Hermes,0.04750551,0.003104349,0.01746666,1.834674,0.09568023,0.6826442,0.201444,deuteron,k+
156,M_Hermes,0.05895354,0.00368293,0.007523602,1.834674,0.09568023,0.6877778,0.303863,deuteron,k+
157,M_Hermes,0.07203715,0.004152872,0.01582123,1.834674,0.09568023,0.682841,0.3999407,deuteron,k+
158,M_Hermes,0.07694432,0.003686318,0.03604864,1.834674,0.09568023,0.688487,0.52299,deuteron,k+
159,M_Hermes,0.06643905,0.002974532,0.01592529,1.834674,0.09568023,0.6876344,0.6961801,deuteron,k+
160,M_Hermes,0.01820713,0.001072072,0.00436417,1.834674,0.09568023,0.6896745,0.9271303,deuteron,k+
161,M_Hermes,0.006965782,0.000676942,0.0016624,1.834674,0.09568023,0.8676765,0.09678094,deuteron,k+
162,M_Hermes,0.01485523,0.001441769,0.005460416,1.834674,0.09568023,0.8779527,0.2010663,deuteron,k+
163,M_Hermes,0.01950975,0.001658254,0.002513618,1.834674,0.09568023,0.8722211,0.3010118,deuteron,k+
164,M_Hermes,0.02009582,0.001879071,0.0044036,1.834674,0.09568023,0.8650827,0.4012632,deuteron,k+
165,M_Hermes,0.02153024,0.001340591,0.01007813,1.834674,0.09568023,0.8642535,0.5230707,deuteron,k+
166,M_Hermes,0.01167998,0.000886004,0.002792063,1.834674,0.09568023,0.8653808,0.6985447,deuteron,k+
167,M_Hermes,0.005451804,0.000442308,0.00130251,1.834674,0.09568023,0.8532641,0.9039617,deuteron,k+
168,M_Hermes,0.3397937,0.02012387,0.08274015,2.882131,0.1519989,0.1438539,0.09954748,deuteron,k+
169,M_Hermes,0.791661,0.04120633,0.1444466,2.882131,0.1519989,0.1438305,0.2014305,deuteron,k+
170,M_Hermes,0.8512642,0.04946068,0.2419687,2.882131,0.1519989,0.142758,0.3006893,deuteron,k+
171,M_Hermes,0.7200498,0.04945784,0.2047441,2.882131,0.1519989,0.143026,0.4057784,deuteron,k+
172,M_Hermes,0.4844076,0.03973404,0.1458583,2.882131,0.1519989,0.1461794,0.5197005,deuteron,k+
173,M_Hermes,0.1641105,0.02984173,0.06200632,2.882131,0.1519989,0.1558673,0.6901832,deuteron,k+
174,M_Hermes,0.02616565,0.01805054,0.009856708,2.882131,0.1519989,0.161772,0.8871812,deuteron,k+
175,M_Hermes,0.2561478,0.01540522,0.1168656,2.882131,0.1519989,0.2253823,0.1013052,deuteron,k+
176,M_Hermes,0.4789942,0.0294438,0.07286812,2.882131,0.1519989,0.2231156,0.1996202,deuteron,k+
177,M_Hermes,0.4544875,0.03169747,0.06826699,2.882131,0.1519989,0.2242979,0.2975517,deuteron,k+
178,M_Hermes,0.4560599,0.0342992,0.06856051,2.882131,0.1519989,0.2236481,0.3990022,deuteron,k+
