  i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11,0.125802,0.622955,0.326177,1.611696,0.148847,AUT,0,0.002045,0.070207,0.000986,neutron,pi-,solid
1,11,0.148232,0.547478,0.325454,1.67342,0.136256,AUT,0,0.001925,0.070207,0.000999,neutron,pi-,solid
2,11,0.165785,0.498129,0.325051,1.703341,0.127326,AUT,0,0.002042,0.070207,0.001012,neutron,pi-,solid
3,11,0.184811,0.455435,0.32478,1.735851,0.1183,AUT,0,0.002325,0.070207,0.001026,neutron,pi-,solid
4,11,0.210979,0.40741,0.324451,1.771143,0.112273,AUT,0,0.002417,0.070207,0.001046,neutron,pi-,solid
5,11,0.255099,0.34746,0.323923,1.822354,0.120721,AUT,0,0.002481,0.070207,0.001078,neutron,pi-,solid
6,11,0.06555,0.791966,0.321549,1.069515,0.345243,AUT,0,0.00203,0.070207,0.00097,neutron,pi-,solid
7,11,0.07479,0.713495,0.322957,1.100456,0.342826,AUT,0,0.001833,0.070207,0.000968,neutron,pi-,solid
8,11,0.082969,0.647037,0.323604,1.107336,0.340796,AUT,0,0.001925,0.070207,0.000967,neutron,pi-,solid
9,11,0.094905,0.592269,0.325135,1.158278,0.341596,AUT,0,0.002226,0.070207,0.000968,neutron,pi-,solid
10,11,0.137762,0.615161,0.330118,1.739958,0.243819,AUT,0,0.001914,0.070207,0.000994,neutron,pi-,solid
11,11,0.208448,0.441088,0.330208,1.852383,0.226918,AUT,0,0.006089,0.070207,0.001043,neutron,pi-,solid
12,11,0.063402,0.8092,0.326603,1.056964,0.463923,AUT,0,0.001922,0.070207,0.000969,neutron,pi-,solid
13,11,0.073581,0.721328,0.328226,1.094077,0.451775,AUT,0,0.001949,0.070207,0.000967,neutron,pi-,solid
14,11,0.086671,0.628968,0.329953,1.121913,0.44442,AUT,0,0.002786,0.070207,0.000966,neutron,pi-,solid
15,11,0.107324,0.53859,0.334455,1.190666,0.431551,AUT,0,0.013247,0.070207,0.000968,neutron,pi-,solid
16,11,0.122772,0.588311,0.37485,1.484773,0.151421,AUT,0,0.001933,0.070207,0.000971,neutron,pi-,solid
17,11,0.146973,0.525996,0.373884,1.594248,0.137612,AUT,0,0.001901,0.070207,0.000985,neutron,pi-,solid
18,11,0.167068,0.483186,0.373759,1.664779,0.126883,AUT,0,0.00201,0.070207,0.000998,neutron,pi-,solid
19,11,0.19146,0.438125,0.373813,1.728985,0.11788,AUT,0,0.002187,0.070207,0.001016,neutron,pi-,solid
20,11,0.234725,0.372011,0.373806,1.792014,0.119747,AUT,0,0.002062,0.070207,0.001045,neutron,pi-,solid
21,11,0.290477,0.317804,0.373518,1.905173,0.141331,AUT,0,0.015572,0.070207,0.001081,neutron,pi-,solid
22,11,0.072026,0.737036,0.371751,1.090975,0.353087,AUT,0,0.001883,0.070207,0.00096,neutron,pi-,solid
23,11,0.087533,0.627686,0.372625,1.132237,0.352049,AUT,0,0.001875,0.070207,0.000958,neutron,pi-,solid
24,11,0.110512,0.627331,0.375818,1.434504,0.29662,AUT,0,0.001881,0.070207,0.000966,neutron,pi-,solid
25,11,0.138075,0.604234,0.376812,1.718398,0.251636,AUT,0,0.001876,0.070207,0.000982,neutron,pi-,solid
26,11,0.167346,0.514906,0.376582,1.771577,0.248062,AUT,0,0.002715,0.070207,0.001,neutron,pi-,solid
27,11,0.228709,0.38907,0.376343,1.812361,0.247508,AUT,0,0.004851,0.070207,0.00104,neutron,pi-,solid
28,11,0.063804,0.809646,0.373571,1.064526,0.500012,AUT,0,0.001839,0.070207,0.000961,neutron,pi-,solid
29,11,0.072379,0.745761,0.374668,1.11359,0.487904,AUT,0,0.001882,0.070207,0.00096,neutron,pi-,solid
30,11,0.079583,0.693439,0.375517,1.138394,0.478185,AUT,0,0.001972,0.070207,0.000959,neutron,pi-,solid
31,11,0.088692,0.637457,0.376234,1.165943,0.470748,AUT,0,0.002264,0.070207,0.000958,neutron,pi-,solid
32,11,0.106487,0.560417,0.377861,1.224421,0.459825,AUT,0,0.004855,0.070207,0.00096,neutron,pi-,solid
33,11,0.069532,0.741368,0.386977,1.047796,0.624072,AUT,0,0.004134,0.070207,0.000957,neutron,pi-,solid
34,11,0.123517,0.562592,0.423764,1.428372,0.150632,AUT,0,0.001893,0.070207,0.000961,neutron,pi-,solid
35,11,0.154605,0.504386,0.423557,1.607039,0.13209,AUT,0,0.001894,0.070207,0.000978,neutron,pi-,solid
36,11,0.184745,0.448267,0.423783,1.705911,0.121489,AUT,0,0.002038,0.070207,0.000998,neutron,pi-,solid
37,11,0.234174,0.373944,0.423643,1.793625,0.123487,AUT,0,0.002161,0.070207,0.001029,neutron,pi-,solid
38,11,0.081098,0.671508,0.42196,1.11435,0.357082,AUT,0,0.001856,0.070207,0.000951,neutron,pi-,solid
39,11,0.111244,0.636395,0.425204,1.461658,0.287569,AUT,0,0.001821,0.070207,0.000958,neutron,pi-,solid
40,11,0.133408,0.599304,0.425538,1.648426,0.271838,AUT,0,0.001857,0.070207,0.000968,neutron,pi-,solid
41,11,0.153421,0.541329,0.425282,1.711964,0.271509,AUT,0,0.002073,0.070207,0.000979,neutron,pi-,solid
42,11,0.186136,0.460834,0.425323,1.761519,0.268864,AUT,0,0.004752,0.070207,0.000999,neutron,pi-,solid
43,11,0.248304,0.357428,0.425325,1.819891,0.269439,AUT,0,0.004353,0.070207,0.001037,neutron,pi-,solid
44,11,0.06643,0.791092,0.42302,1.082199,0.505642,AUT,0,0.001815,0.070207,0.000955,neutron,pi-,solid
45,11,0.076739,0.723591,0.42375,1.145445,0.498318,AUT,0,0.001831,0.070207,0.000953,neutron,pi-,solid
46,11,0.085264,0.667948,0.42439,1.174796,0.491386,AUT,0,0.001945,0.070207,0.000951,neutron,pi-,solid
47,11,0.096844,0.612002,0.424982,1.221599,0.484843,AUT,0,0.002385,0.070207,0.000951,neutron,pi-,solid
48,11,0.118515,0.527016,0.426005,1.28275,0.482121,AUT,0,0.007857,0.070207,0.000956,neutron,pi-,solid
49,11,0.073081,0.732966,0.428141,1.090578,0.649779,AUT,0,0.002029,0.070207,0.000952,neutron,pi-,solid
50,11,0.105096,0.54821,0.432972,1.185768,0.628143,AUT,0,0.009624,0.070207,0.00095,neutron,pi-,solid
51,11,0.129898,0.542298,0.473398,1.446362,0.145319,AUT,0,0.001842,0.070207,0.000955,neutron,pi-,solid
52,11,0.173126,0.467351,0.473631,1.664608,0.125809,AUT,0,0.001917,0.070207,0.000978,neutron,pi-,solid
53,11,0.227131,0.383802,0.473649,1.783622,0.124605,AUT,0,0.002261,0.070207,0.00101,neutron,pi-,solid
