i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11,0.105558,0.746545,0.326164,1.61631,0.127133,AUT,0,0.006891,0.070207,0.009004,proton,pi-,solid
1,11,0.13234,0.622189,0.325325,1.695027,0.126793,AUT,0,0.008658,0.070207,0.008933,proton,pi-,solid
2,11,0.162167,0.514184,0.325162,1.714374,0.129704,AUT,0,0.007117,0.070207,0.008825,proton,pi-,solid
3,11,0.213263,0.395331,0.32531,1.724288,0.132299,AUT,0,0.005159,0.070207,0.008632,proton,pi-,solid
4,11,0.273476,0.323774,0.323875,1.826438,0.13301,AUT,0,0.012216,0.070207,0.008423,proton,pi-,solid
5,11,0.0699,0.753133,0.324212,1.07728,0.331404,AUT,0,0.008836,0.070207,0.009071,proton,pi-,solid
6,11,0.088575,0.609994,0.324586,1.1124,0.333988,AUT,0,0.006971,0.070207,0.009082,proton,pi-,solid
7,11,0.110343,0.537029,0.326063,1.220158,0.319301,AUT,0,0.006522,0.070207,0.009055,proton,pi-,solid
8,11,0.139852,0.464854,0.32715,1.337882,0.300628,AUT,0,0.006103,0.070207,0.008967,proton,pi-,solid
9,11,0.1967,0.394587,0.328925,1.587119,0.264479,AUT,0,0.006028,0.070207,0.008727,proton,pi-,solid
10,11,0.080246,0.668248,0.32924,1.085685,0.450439,AUT,0,0.006741,0.070207,0.009085,proton,pi-,solid
11,11,0.124015,0.443996,0.3306,1.10857,0.439215,AUT,0,0.006853,0.070207,0.009042,proton,pi-,solid
12,11,0.101945,0.720191,0.374669,1.50408,0.134745,AUT,0,0.007754,0.070207,0.009083,proton,pi-,solid
13,11,0.130596,0.600486,0.374271,1.614061,0.130527,AUT,0,0.009392,0.070207,0.009019,proton,pi-,solid
14,11,0.161488,0.494721,0.374429,1.642127,0.13143,AUT,0,0.008257,0.070207,0.008914,proton,pi-,solid
15,11,0.21396,0.378704,0.37439,1.657593,0.134655,AUT,0,0.005525,0.070207,0.008723,proton,pi-,solid
