Ebeam,x,y,z,Q2,pT,obs,value,stat,syst1,syst2,target,hadron
27.6,0.111,0.475,0.391,2.731,0.113,AUT,0.0128,0.027,0,0.0169,proton,pi0
27.6,0.103,0.517,0.384,2.649,0.212,AUT,0.0667,0.0273,0,0.0163,proton,pi0
27.6,0.095,0.553,0.381,2.553,0.29,AUT,0.0625,0.0261,0,0.0158,proton,pi0
27.6,0.087,0.587,0.381,2.456,0.369,AUT,0.0575,0.0249,0,0.0153,proton,pi0
27.6,0.08,0.623,0.382,2.367,0.49,AUT,0.0177,0.0169,0,0.0146,proton,pi0
27.6,0.073,0.655,0.404,2.28,0.673,AUT,0.0315,0.0183,0,0.0134,proton,pi0
27.6,0.07,0.677,0.463,2.263,0.959,AUT,0.0196,0.0244,0,0.0117,proton,pi0
27.6,0.035,0.717,0.351,1.293,0.54,AUT,0.0113,0.0296,0,0.0227,proton,pi0
27.6,0.055,0.599,0.386,1.712,0.451,AUT,-0.0331,0.025,0,0.018,proton,pi0
27.6,0.076,0.557,0.406,2.184,0.416,AUT,0.0585,0.0263,0,0.0134,proton,pi0
27.6,0.098,0.531,0.414,2.705,0.392,AUT,0.0264,0.0225,0,0.0081,proton,pi0
27.6,0.133,0.514,0.421,3.549,0.372,AUT,0.0174,0.0202,0,0.0014,proton,pi0
27.6,0.185,0.491,0.428,4.716,0.364,AUT,0.0419,0.0259,0,0.0124,proton,pi0
27.6,0.273,0.47,0.432,6.631,0.378,AUT,0.0784,0.037,0,0.0328,proton,pi0
27.6,0.072,0.671,0.236,2.361,0.39,AUT,0.0387,0.0255,0,0.0018,proton,pi0
27.6,0.081,0.623,0.304,2.414,0.42,AUT,-0.0006,0.0196,0,0.0014,proton,pi0
27.6,0.087,0.587,0.374,2.447,0.446,AUT,0.0325,0.0189,0,0.0044,proton,pi0
27.6,0.093,0.558,0.448,2.486,0.464,AUT,0.0487,0.018,0,0.0077,proton,pi0
27.6,0.098,0.531,0.523,2.531,0.472,AUT,0.0239,0.0208,0,0.0109,proton,pi0
27.6,0.102,0.511,0.593,2.552,0.488,AUT,0.0162,0.0231,0,0.0134,proton,pi0
27.6,0.106,0.495,0.663,2.583,0.495,AUT,0.1001,0.0264,0,0.017,proton,pi0
