Ebeam;x;y;z;Q2;pT;obs;value;stat;syst1;syst2;target;hadron
160;0.0358;0.359;0.346;3.25;0.2374;AUT;-0.0122;0.0291;0;0;proton;k0
160;0.035;0.374;0.355;3.33;0.4463;AUT;-0.0214;0.0306;0;0;proton;k0
160;0.0338;0.388;0.371;3.32;0.6411;AUT;-0.0056;0.0357;0;0;proton;k0
160;0.0327;0.407;0.388;3.39;0.8558;AUT;-0.0158;0.0459;0;0;proton;k0
160;0.0315;0.451;0.406;3.68;1.2516;AUT;-0.1314;0.0588;0;0;proton;k0
160;0.00906;0.552;0.341;1.44;0.56;AUT;-0.0486;0.0305;0;0;proton;k0
160;0.0209;0.344;0.361;2.09;0.521;AUT;-0.0474;0.0259;0;0;proton;k0
160;0.04866;0.29;0.383;4.23;0.494;AUT;0.0378;0.0334;0;0;proton;k0
160;0.10022;0.29;0.38;8.71;0.496;AUT;0.0468;0.0734;0;0;proton;k0
160;0.19459;0.311;0.376;18.6;0.524;AUT;0.081;0.0978;0;0;proton;k0
160;0.0309;0.435;0.2244;3.54;0.479;AUT;-0.0448;0.0354;0;0;proton;k0
160;0.0333;0.397;0.2853;3.43;0.501;AUT;-0.0092;0.0313;0;0;proton;k0
160;0.0356;0.366;0.3709;3.32;0.532;AUT;0.0125;0.0327;0;0;proton;k0
160;0.0371;0.342;0.4802;3.13;0.556;AUT;-0.0537;0.041;0;0;proton;k0
160;0.0384;0.328;0.6111;3.03;0.596;AUT;0.016;0.0576;0;0;proton;k0
160;0.0412;0.306;0.7804;2.97;0.633;AUT;-0.1024;0.0866;0;0;proton;k0
