x	Q2	value	error
5.000E-02	1.500E+00	3.615E-01	2.317E-03
1.500E-01	1.500E+00	4.094E-01	1.796E-03
2.500E-01	1.500E+00	3.864E-01	1.463E-03
3.500E-01	1.500E+00	3.170E-01	1.024E-03
4.500E-01	1.500E+00	2.263E-01	6.986E-04
5.500E-01	1.500E+00	1.385E-01	4.770E-04
6.500E-01	1.500E+00	6.911E-02	3.325E-04
5.000E-02	2.500E+00	4.007E-01	2.153E-03
1.500E-01	2.500E+00	4.104E-01	1.613E-03
2.500E-01	2.500E+00	3.716E-01	1.283E-03
3.500E-01	2.500E+00	2.949E-01	8.727E-04
4.500E-01	2.500E+00	2.042E-01	6.045E-04
5.500E-01	2.500E+00	1.211E-01	4.240E-04
6.500E-01	2.500E+00	5.848E-02	2.899E-04
5.000E-02	3.500E+00	4.214E-01	2.124E-03
1.500E-01	3.500E+00	4.071E-01	1.614E-03
2.500E-01	3.500E+00	3.596E-01	1.212E-03
3.500E-01	3.500E+00	2.798E-01	8.044E-04
4.500E-01	3.500E+00	1.902E-01	5.640E-04
5.500E-01	3.500E+00	1.107E-01	3.945E-04
6.500E-01	3.500E+00	5.237E-02	2.648E-04
5.000E-02	4.500E+00	4.345E-01	2.124E-03
1.500E-01	4.500E+00	4.045E-01	1.653E-03
2.500E-01	4.500E+00	3.514E-01	1.179E-03
3.500E-01	4.500E+00	2.697E-01	7.697E-04
4.500E-01	4.500E+00	1.810E-01	5.427E-04
5.500E-01	4.500E+00	1.041E-01	3.761E-04
6.500E-01	4.500E+00	4.853E-02	2.487E-04
5.000E-02	5.500E+00	4.440E-01	2.129E-03
1.500E-01	5.500E+00	4.023E-01	1.695E-03
2.500E-01	5.500E+00	3.451E-01	1.159E-03
3.500E-01	5.500E+00	2.623E-01	7.488E-04
4.500E-01	5.500E+00	1.744E-01	5.291E-04
5.500E-01	5.500E+00	9.927E-02	3.630E-04
6.500E-01	5.500E+00	4.581E-02	2.372E-04
5.000E-02	6.500E+00	4.511E-01	2.135E-03
1.500E-01	6.500E+00	4.004E-01	1.733E-03
2.500E-01	6.500E+00	3.402E-01	1.146E-03
3.500E-01	6.500E+00	2.564E-01	7.348E-04
4.500E-01	6.500E+00	1.692E-01	5.192E-04
5.500E-01	6.500E+00	9.560E-02	3.530E-04
6.500E-01	6.500E+00	4.375E-02	2.283E-04
5.000E-02	7.500E+00	4.568E-01	2.140E-03
1.500E-01	7.500E+00	3.988E-01	1.765E-03
2.500E-01	7.500E+00	3.361E-01	1.136E-03
3.500E-01	7.500E+00	2.517E-01	7.248E-04
4.500E-01	7.500E+00	1.651E-01	5.115E-04
5.500E-01	7.500E+00	9.268E-02	3.450E-04
6.500E-01	7.500E+00	4.212E-02	2.213E-04
