x	Q2	value	error
5.000E-02	1.500E+00	3.766E-01	2.172E-02
1.500E-01	1.500E+00	4.048E-01	1.051E-02
2.500E-01	1.500E+00	3.793E-01	8.002E-03
3.500E-01	1.500E+00	3.089E-01	6.884E-03
4.500E-01	1.500E+00	2.179E-01	5.907E-03
5.500E-01	1.500E+00	1.315E-01	4.908E-03
6.500E-01	1.500E+00	6.551E-02	3.626E-03
5.000E-02	2.500E+00	4.101E-01	1.958E-02
1.500E-01	2.500E+00	4.063E-01	9.444E-03
2.500E-01	2.500E+00	3.653E-01	7.249E-03
3.500E-01	2.500E+00	2.874E-01	6.201E-03
4.500E-01	2.500E+00	1.965E-01	5.334E-03
5.500E-01	2.500E+00	1.151E-01	4.394E-03
6.500E-01	2.500E+00	5.551E-02	3.166E-03
5.000E-02	3.500E+00	4.278E-01	1.831E-02
1.500E-01	3.500E+00	4.038E-01	8.841E-03
2.500E-01	3.500E+00	3.542E-01	6.803E-03
3.500E-01	3.500E+00	2.731E-01	5.814E-03
4.500E-01	3.500E+00	1.833E-01	5.002E-03
5.500E-01	3.500E+00	1.054E-01	4.085E-03
6.500E-01	3.500E+00	4.989E-02	2.896E-03
5.000E-02	4.500E+00	4.394E-01	1.754E-02
1.500E-01	4.500E+00	4.017E-01	8.474E-03
2.500E-01	4.500E+00	3.465E-01	6.528E-03
3.500E-01	4.500E+00	2.635E-01	5.577E-03
4.500E-01	4.500E+00	1.746E-01	4.792E-03
5.500E-01	4.500E+00	9.919E-02	3.886E-03
6.500E-01	4.500E+00	4.634E-02	2.723E-03
5.000E-02	5.500E+00	4.478E-01	1.700E-02
1.500E-01	5.500E+00	3.999E-01	8.222E-03
2.500E-01	5.500E+00	3.407E-01	6.336E-03
3.500E-01	5.500E+00	2.564E-01	5.412E-03
4.500E-01	5.500E+00	1.683E-01	4.643E-03
5.500E-01	5.500E+00	9.472E-02	3.741E-03
6.500E-01	5.500E+00	4.381E-02	2.598E-03
5.000E-02	6.500E+00	4.542E-01	1.659E-02
1.500E-01	6.500E+00	3.983E-01	8.035E-03
2.500E-01	6.500E+00	3.360E-01	6.192E-03
3.500E-01	6.500E+00	2.508E-01	5.288E-03
4.500E-01	6.500E+00	1.634E-01	4.528E-03
5.500E-01	6.500E+00	9.129E-02	3.630E-03
6.500E-01	6.500E+00	4.189E-02	2.503E-03
5.000E-02	7.500E+00	4.593E-01	1.628E-02
1.500E-01	7.500E+00	3.969E-01	7.888E-03
2.500E-01	7.500E+00	3.321E-01	6.079E-03
3.500E-01	7.500E+00	2.462E-01	5.190E-03
4.500E-01	7.500E+00	1.594E-01	4.437E-03
5.500E-01	7.500E+00	8.854E-02	3.541E-03
6.500E-01	7.500E+00	4.037E-02	2.427E-03
