x	Q2	value	error
5.000E-02	1.500E+00	4.029E-01	5.997E-03
1.500E-01	1.500E+00	4.429E-01	4.935E-03
2.500E-01	1.500E+00	4.129E-01	3.101E-03
3.500E-01	1.500E+00	3.456E-01	2.931E-03
4.500E-01	1.500E+00	2.493E-01	2.588E-03
5.500E-01	1.500E+00	1.468E-01	2.146E-03
6.500E-01	1.500E+00	6.503E-02	1.658E-03
5.000E-02	2.500E+00	4.293E-01	5.592E-03
1.500E-01	2.500E+00	4.341E-01	4.288E-03
2.500E-01	2.500E+00	3.899E-01	2.814E-03
3.500E-01	2.500E+00	3.156E-01	2.683E-03
4.500E-01	2.500E+00	2.199E-01	2.316E-03
5.500E-01	2.500E+00	1.248E-01	1.900E-03
6.500E-01	2.500E+00	5.314E-02	1.407E-03
5.000E-02	3.500E+00	4.491E-01	5.286E-03
1.500E-01	3.500E+00	4.295E-01	3.911E-03
2.500E-01	3.500E+00	3.771E-01	2.662E-03
3.500E-01	3.500E+00	2.994E-01	2.549E-03
4.500E-01	3.500E+00	2.046E-01	2.176E-03
5.500E-01	3.500E+00	1.137E-01	1.771E-03
6.500E-01	3.500E+00	4.736E-02	1.280E-03
5.000E-02	4.500E+00	4.618E-01	5.077E-03
1.500E-01	4.500E+00	4.259E-01	3.679E-03
2.500E-01	4.500E+00	3.683E-01	2.568E-03
3.500E-01	4.500E+00	2.886E-01	2.460E-03
4.500E-01	4.500E+00	1.945E-01	2.084E-03
5.500E-01	4.500E+00	1.066E-01	1.687E-03
6.500E-01	4.500E+00	4.373E-02	1.198E-03
5.000E-02	5.500E+00	4.708E-01	4.921E-03
1.500E-01	5.500E+00	4.230E-01	3.517E-03
2.500E-01	5.500E+00	3.617E-01	2.503E-03
3.500E-01	5.500E+00	2.806E-01	2.396E-03
4.500E-01	5.500E+00	1.872E-01	2.018E-03
5.500E-01	5.500E+00	1.016E-01	1.625E-03
6.500E-01	5.500E+00	4.117E-02	1.140E-03
5.000E-02	6.500E+00	4.777E-01	4.797E-03
1.500E-01	6.500E+00	4.206E-01	3.397E-03
2.500E-01	6.500E+00	3.564E-01	2.454E-03
3.500E-01	6.500E+00	2.743E-01	2.345E-03
4.500E-01	6.500E+00	1.816E-01	1.967E-03
5.500E-01	6.500E+00	9.766E-02	1.578E-03
6.500E-01	6.500E+00	3.923E-02	1.095E-03
5.000E-02	7.500E+00	4.831E-01	4.696E-03
1.500E-01	7.500E+00	4.185E-01	3.302E-03
2.500E-01	7.500E+00	3.521E-01	2.414E-03
3.500E-01	7.500E+00	2.692E-01	2.305E-03
4.500E-01	7.500E+00	1.770E-01	1.925E-03
5.500E-01	7.500E+00	9.455E-02	1.539E-03
6.500E-01	7.500E+00	3.770E-02	1.059E-03
