x	Q2	value	error
5.000E-02	1.500E+00	3.729E-01	9.143E-03
1.500E-01	1.500E+00	4.112E-01	7.569E-03
2.500E-01	1.500E+00	3.911E-01	6.712E-03
3.500E-01	1.500E+00	3.209E-01	5.365E-03
4.500E-01	1.500E+00	2.284E-01	3.896E-03
5.500E-01	1.500E+00	1.389E-01	2.480E-03
6.500E-01	1.500E+00	6.895E-02	1.468E-03
5.000E-02	2.500E+00	4.020E-01	8.246E-03
1.500E-01	2.500E+00	4.067E-01	6.936E-03
2.500E-01	2.500E+00	3.695E-01	6.057E-03
3.500E-01	2.500E+00	2.920E-01	4.756E-03
4.500E-01	2.500E+00	2.008E-01	3.374E-03
5.500E-01	2.500E+00	1.179E-01	2.105E-03
6.500E-01	2.500E+00	5.644E-02	1.226E-03
5.000E-02	3.500E+00	4.217E-01	7.723E-03
1.500E-01	3.500E+00	4.043E-01	6.564E-03
2.500E-01	3.500E+00	3.575E-01	5.700E-03
3.500E-01	3.500E+00	2.766E-01	4.439E-03
4.500E-01	3.500E+00	1.865E-01	3.108E-03
5.500E-01	3.500E+00	1.074E-01	1.916E-03
6.500E-01	3.500E+00	5.037E-02	1.113E-03
5.000E-02	4.500E+00	4.344E-01	7.398E-03
1.500E-01	4.500E+00	4.021E-01	6.336E-03
2.500E-01	4.500E+00	3.492E-01	5.474E-03
3.500E-01	4.500E+00	2.663E-01	4.233E-03
4.500E-01	4.500E+00	1.772E-01	2.937E-03
5.500E-01	4.500E+00	1.007E-01	1.797E-03
6.500E-01	4.500E+00	4.657E-02	1.037E-03
5.000E-02	5.500E+00	4.436E-01	7.175E-03
1.500E-01	5.500E+00	4.002E-01	6.168E-03
2.500E-01	5.500E+00	3.430E-01	5.311E-03
3.500E-01	5.500E+00	2.587E-01	4.087E-03
4.500E-01	5.500E+00	1.705E-01	2.818E-03
5.500E-01	5.500E+00	9.596E-02	1.713E-03
6.500E-01	5.500E+00	4.390E-02	9.836E-04
5.000E-02	6.500E+00	4.506E-01	7.009E-03
1.500E-01	6.500E+00	3.986E-01	6.038E-03
2.500E-01	6.500E+00	3.380E-01	5.186E-03
3.500E-01	6.500E+00	2.528E-01	3.972E-03
4.500E-01	6.500E+00	1.653E-01	2.726E-03
5.500E-01	6.500E+00	9.230E-02	1.647E-03
6.500E-01	6.500E+00	4.187E-02	9.438E-04
5.000E-02	7.500E+00	4.562E-01	6.875E-03
1.500E-01	7.500E+00	3.971E-01	5.933E-03
2.500E-01	7.500E+00	3.339E-01	5.083E-03
3.500E-01	7.500E+00	2.480E-01	3.882E-03
4.500E-01	7.500E+00	1.611E-01	2.652E-03
5.500E-01	7.500E+00	8.938E-02	1.597E-03
6.500E-01	7.500E+00	4.027E-02	9.114E-04
