x	Q2	value	error
5.000E-02	1.500E+00	3.556E-01	7.947E-03
1.500E-01	1.500E+00	4.056E-01	4.865E-03
2.500E-01	1.500E+00	3.856E-01	5.228E-03
3.500E-01	1.500E+00	3.144E-01	4.457E-03
4.500E-01	1.500E+00	2.228E-01	3.708E-03
5.500E-01	1.500E+00	1.323E-01	2.658E-03
6.500E-01	1.500E+00	6.451E-02	1.977E-03
5.000E-02	2.500E+00	3.896E-01	6.937E-03
1.500E-01	2.500E+00	4.028E-01	4.505E-03
2.500E-01	2.500E+00	3.666E-01	4.702E-03
3.500E-01	2.500E+00	2.892E-01	3.947E-03
4.500E-01	2.500E+00	1.984E-01	3.166E-03
5.500E-01	2.500E+00	1.142E-01	2.246E-03
6.500E-01	2.500E+00	5.384E-02	1.614E-03
5.000E-02	3.500E+00	4.092E-01	6.444E-03
1.500E-01	3.500E+00	4.006E-01	4.324E-03
2.500E-01	3.500E+00	3.555E-01	4.421E-03
3.500E-01	3.500E+00	2.752E-01	3.681E-03
4.500E-01	3.500E+00	1.853E-01	2.899E-03
5.500E-01	3.500E+00	1.047E-01	2.044E-03
6.500E-01	3.500E+00	4.844E-02	1.441E-03
5.000E-02	4.500E+00	4.220E-01	6.147E-03
1.500E-01	4.500E+00	3.987E-01	4.209E-03
2.500E-01	4.500E+00	3.478E-01	4.239E-03
3.500E-01	4.500E+00	2.657E-01	3.510E-03
4.500E-01	4.500E+00	1.766E-01	2.733E-03
5.500E-01	4.500E+00	9.859E-02	1.917E-03
6.500E-01	4.500E+00	4.500E-02	1.335E-03
5.000E-02	5.500E+00	4.313E-01	5.943E-03
1.500E-01	5.500E+00	3.970E-01	4.127E-03
2.500E-01	5.500E+00	3.420E-01	4.107E-03
3.500E-01	5.500E+00	2.587E-01	3.387E-03
4.500E-01	5.500E+00	1.703E-01	2.615E-03
5.500E-01	5.500E+00	9.416E-02	1.828E-03
6.500E-01	5.500E+00	4.255E-02	1.262E-03
5.000E-02	6.500E+00	4.385E-01	5.791E-03
1.500E-01	6.500E+00	3.955E-01	4.065E-03
2.500E-01	6.500E+00	3.373E-01	4.006E-03
3.500E-01	6.500E+00	2.531E-01	3.292E-03
4.500E-01	6.500E+00	1.653E-01	2.527E-03
5.500E-01	6.500E+00	9.075E-02	1.761E-03
6.500E-01	6.500E+00	4.068E-02	1.207E-03
5.000E-02	7.500E+00	4.442E-01	5.673E-03
1.500E-01	7.500E+00	3.941E-01	4.014E-03
2.500E-01	7.500E+00	3.334E-01	3.924E-03
3.500E-01	7.500E+00	2.486E-01	3.217E-03
4.500E-01	7.500E+00	1.613E-01	2.456E-03
5.500E-01	7.500E+00	8.802E-02	1.707E-03
6.500E-01	7.500E+00	3.919E-02	1.164E-03
